,ID,Primary Type,Arrest,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
3248753,9999293,THEFT,True,3.0,2015,41.963070794000004,-87.655984213,170318307004004,830700,4004
945364,6898069,THEFT,False,49.0,2009,41.688516319,-87.61951079100001,170314914002021,491400,2021
5695174,6561228,THEFT,False,19.0,2008,41.922557202,-87.769588337,170311913022010,191302,2010
2989650,9473401,NARCOTICS,True,23.0,2014,41.890037052,-87.709440657,170318367001025,836700,1025
1981422,7502151,MOTOR VEHICLE THEFT,False,52.0,2010,41.709176022,-87.536487818,170315202002014,520200,2014
1793027,19574,HOMICIDE,False,26.0,2010,41.878743779000004,-87.736150611,170312605001005,260500,1005
1347080,8547464,BATTERY,False,50.0,2012,41.705615357,-87.60537259700001,170315002001011,500200,1011
3734616,2738583,THEFT,False,8.0,2003,41.900771451,-87.626827076,170310812013000,081201,3000
969753,7007749,NARCOTICS,True,66.0,2009,41.782113773,-87.702011016,170316603022012,660302,2012
2229536,7979770,NARCOTICS,True,25.0,2011,41.880399914,-87.75300855299999,170312518001008,251800,1008
4653697,4309517,THEFT,False,2.0,2005,42.00950441,-87.690668075,170310203023008,020302,3008
3311957,2081199,CRIMINAL DAMAGE,False,,2002,41.698322683,-87.69871175,170317401003004,740100,3004
5808796,6790319,NARCOTICS,True,25.0,2009,41.875942998,-87.74379946299999,170312522023009,252202,3009
5270904,5669453,ASSAULT,False,70.0,2007,41.738691386,-87.696178334,170317005022000,700502,2000
3960102,3030763,NARCOTICS,True,61.0,2003,41.803427776999996,-87.644086755,170318438001041,843800,1041
4563414,4098176,BURGLARY,False,69.0,2005,41.754222797,-87.619838703,170316913002005,691300,2005
5355719,5836930,NARCOTICS,True,36.0,2007,41.829027163,-87.608114898,170318365001006,836500,1006
3922550,2977470,THEFT,False,7.0,2003,41.922786529,-87.645045119,170310712001014,071200,1014
3689805,2675309,BATTERY,False,29.0,2003,41.865397251,-87.708075934,170318415001005,841500,1005
2906972,9325065,THEFT,False,6.0,2013,41.93991842,-87.653288878,170310630001002,063000,1002
1780870,10357996,ASSAULT,False,63.0,2015,41.791797589,-87.697885916,170316308002006,630800,2006
