,License Id,Account Number,Legal Name,Doing Business As Name,Address,License Code,License Description,Latitude,Longitude,Business Type,FIPS,Tract,Block
17552,1482370,17023,HMT CORPORATION,MONROE CONCESSION,100 W MONROE ST # 1ST,1781,Tobacco,41.88080528,-87.63092933,restaurant,170318391001068,839100,1068
48187,2076641,86522,"ARAMARK SERVICES, INC",ARAMARK,21 S CLARK ST,1006,Retail Food Establishment,41.88143431,-87.63072038,grocery store,170318391001077,839100,1077
86055,1223581,86522,"ARAMARK SERVICES, INC",ARAMARK,2 S DEARBORN ST 57TH,1481,Caterer's Liquor License,41.88193145,-87.62954716,restaurant,170318391001077,839100,1077
79963,1427717,14508,ROBINSON'S #1 RIB INC,ROBINSON'S #1 RIB,225 S CANAL ST,1006,Retail Food Establishment,41.87853128,-87.63942746,grocery store,170312819001001,281900,1001
88044,1753377,63694,THE GRANDMA GEBHARD COMPANY,RIVERS,30 S WACKER DR 1ST,1006,Retail Food Establishment,41.88140721,-87.63715509,grocery store,170318391001074,839100,1074
9393,2515232,360991,"ZORIN, INC.","ZORIN, INC.",141 W JACKSON BLVD 1ST,1006,Retail Food Establishment,41.87802566,-87.63206229,grocery store,170318391001106,839100,1106
23454,2419168,400445,"SUNSHINE INFINITY, INC.","SUNSHINE INFINITY, INC.",55 W MONROE ST GROUND 100 C,1781,Tobacco,41.88059896,-87.62990739,restaurant,170318391001088,839100,1088
85057,2282552,365159,"DISCOVERY DAYS LEARNING ACADEMY, INCORPORATED","DISCOVERY DAYS LEARNING ACADEMY, INCORPORATED",1417 W TAYLOR ST 1ST,1023,Children's Services Facility License,41.86921925,-87.66233541,school,170312831001000,283100,1000
93083,1889488,18379,TACO FRESCO INC,TACO FRESCO,218 S CLARK ST,1006,Retail Food Establishment,41.87881482,-87.63095049,grocery store,170318391001093,839100,1093
26070,1209202,48042,"DISHA, INC.",GATEWAY NEWSTAND,231 S LA SALLE ST  1,1781,Tobacco,41.87854293,-87.63212058,restaurant,170318391001098,839100,1098
19067,1578501,65465,"7-ELEVEN, INC.",7-Eleven,180 N FRANKLIN ST,1781,Tobacco,41.88533037,-87.63554786,restaurant,170318391001032,839100,1032
67457,2342881,15793,"TUTTO MONDO, INC.",CAFFE BACI,225 W WACKER DR 1ST,1477,Outdoor Patio,41.88670922,-87.6347109,restaurant,170318391001027,839100,1027
74316,2315659,11696,"NICHOLAS QUALITY MEATS, INC.",NICHOLAS QUALITY MEATS,908 W RANDOLPH ST 1ST,1006,Retail Food Establishment,41.88447026,-87.65018387,grocery store,170318330001031,833000,1031
74296,2174890,300537,IN HONG,SURF CITY SQUEEZE,444 W JACKSON BLVD 1 1,1006,Retail Food Establishment,41.87815538,-87.63949996,grocery store,170312819001001,281900,1001
69238,1807665,23330,RUFUS MCCULLUM & SYED GILANI,REUNION CLUB,811-813 W LAKE ST,1470,Tavern,41.88554631,-87.64796643,restaurant,170318330001026,833000,1026
25066,1627156,22016,FUNSPOT LP,NINE,440 W RANDOLPH ST  1ST A,1781,Tobacco,41.88455302,-87.63968258,restaurant,170312801002001,280100,2001
39506,2498359,65004,"POTBELLY SANDWICH WORKS, LLC",POTBELLY SANDWICH WORKS # 100,209 S LA SALLE ST  125,1006,Retail Food Establishment,41.87911455,-87.63213674,grocery store,170318391001097,839100,1097
83239,1372075,88596,INARALISHA INC,SUBWAY / TCBY,1100 W TAYLOR ST 1ST,1006,Retail Food Establishment,41.86956628,-87.65427838,grocery store,170318333001030,833300,1030
68348,2423679,400445,"SUNSHINE INFINITY, INC.","SUNSHINE INFINITY, INC.",55 W MONROE ST GROUND 100 C,1006,Retail Food Establishment,41.88059896,-87.62990739,grocery store,170318391001088,839100,1088
85284,2398970,398534,"LITTLE BRANCH CAFE, INC.","LITTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE 1,1006,Retail Food Establishment,41.86593104,-87.6214942,grocery store,170313301003000,330100,3000
26852,2554248,360948,"WILDBERRY PANCAKES & CAFE III INC.,",WILDBERRY PANCAKES & CAFE,130 E RANDOLPH ST 1ST CL3,1006,Retail Food Establishment,41.88458837,-87.62327256,grocery store,170313201002034,320100,2034
78147,2084571,360321,"Bara Holdings 60 East, LLC",Falafill,60 E JACKSON BLVD GROUND FLOOR,1006,Retail Food Establishment,41.87837042,-87.62544271,grocery store,170313204001019,320400,1019
92654,1535675,221952,"USMAN ALI ENTERPRISES,  INC.",7-ELEVEN 33139,174 N MICHIGAN AVE  B,1006,Retail Food Establishment,41.8851095,-87.62462947,grocery store,170313201002027,320100,2027
22649,2173821,65465,"7-ELEVEN, INC.",7 ELEVEN #34724H,128 N LA SALLE ST 1ST,1781,Tobacco,41.88397047,-87.63257344,restaurant,170318391001042,839100,1042
