,Year,Business Type,Business Name,Address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#OnPremises
0,2016,grocery store,BURNHAM HARBOR DOCKSIDE CAFE,1559 S LAKE SHORE DR  FIRST,FALSE,FALSE,ASSAULT,1,0,0
1,2016,grocery store,BURNHAM HARBOR DOCKSIDE CAFE,1559 S LAKE SHORE DR  FIRST,FALSE,FALSE,BATTERY,1,0,0
2,2002,grocery store,BURNHAM HARBOR DOCKSIDE CAFE,1559 S LAKE SHORE DR  FIRST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
3,2014,grocery store,BURNHAM HARBOR DOCKSIDE CAFE,1559 S LAKE SHORE DR  FIRST,FALSE,FALSE,CRIMINAL TRESPASS,1,1,0
4,2011,grocery store,BURNHAM HARBOR DOCKSIDE CAFE,1559 S LAKE SHORE DR  FIRST,FALSE,FALSE,NARCOTICS,1,1,0
5,2015,grocery store,BURNHAM HARBOR DOCKSIDE CAFE,1559 S LAKE SHORE DR  FIRST,FALSE,FALSE,NARCOTICS,1,1,0
6,2011,grocery store,BURNHAM HARBOR DOCKSIDE CAFE,1559 S LAKE SHORE DR  FIRST,FALSE,FALSE,THEFT,1,1,0
7,2006,grocery store,WHITE HEN PANTRY #90 -0003-2,1 E 14TH PL,FALSE,FALSE,NARCOTICS,1,1,0
8,2007,grocery store,CITY TAVERN CHICAGO,1416-1418 S MICHIGAN AVE,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
9,2009,grocery store,MCDONALDS # 7463,1400 S LAKE SHORE DR,FALSE,FALSE,THEFT,1,1,0
10,2006,grocery store,DOMINICK'S #147/1147,1340 S CANAL ST 1ST,FALSE,FALSE,OTHER OFFENSE,1,0,0
11,2017,grocery store,SOUTH LOOP MARKET,1331 S PRAIRIE AVE,FALSE,FALSE,DECEPTIVE PRACTICE,1,0,0
12,2011,grocery store,SOUTH LOOP MARKET,1331 S PRAIRIE AVE,FALSE,FALSE,THEFT,1,0,0
13,2007,restaurant,FRANCONELLO'S RESTAURANT,1301 S HALSTED ST 1,FALSE,TRUE,CRIMINAL DAMAGE,1,0,0
14,2018,restaurant,FRANCONELLO'S RESTAURANT,1301 S HALSTED ST 1,FALSE,TRUE,DECEPTIVE PRACTICE,1,0,0
15,2004,restaurant,FRANCONELLO'S RESTAURANT,1301 S HALSTED ST 1,FALSE,TRUE,NARCOTICS,1,1,0
16,2006,grocery store,"LITTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE 1,FALSE,FALSE,BURGLARY,1,0,0
17,2009,grocery store,EXPRESS GRILL,1236 S UNION AVE,FALSE,FALSE,BATTERY,1,0,0
18,2010,grocery store,EXPRESS GRILL,1236 S UNION AVE,FALSE,FALSE,BURGLARY,1,0,0
19,2011,grocery store,EXPRESS GRILL,1236 S UNION AVE,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
20,2016,grocery store,STARBUCKS COFFEE #2639,31 E ROOSEVELT RD,FALSE,FALSE,CRIMINAL TRESPASS,1,1,0
21,2006,restaurant,MANNYS COFFEE SHOP INC,1141 S JEFFERSON ST 1,TRUE,FALSE,THEFT,1,0,0
22,2017,restaurant,MANNYS COFFEE SHOP INC,1141 S JEFFERSON ST 1,TRUE,FALSE,THEFT,1,0,0
23,2006,restaurant,SAM'S WINES & SPIRITS,1147-1157 S WABASH AVE 1,TRUE,FALSE,NARCOTICS,1,1,0
24,2007,restaurant,CERMAK FOOD MART,540 W GRENSHAW ST,TRUE,FALSE,BATTERY,1,0,0
25,2005,restaurant,CERMAK FOOD MART,540 W GRENSHAW ST,TRUE,FALSE,DECEPTIVE PRACTICE,1,1,0
26,2008,restaurant,FORNETTO-MEI ON GRANT,1108 S MICHIGAN AVE,FALSE,TRUE,NARCOTICS,1,1,0
27,2016,restaurant,FORNETTO-MEI ON GRANT,1108 S MICHIGAN AVE,FALSE,TRUE,ROBBERY,1,0,0
28,2009,restaurant,FORNETTO-MEI ON GRANT,1108 S MICHIGAN AVE,FALSE,TRUE,THEFT,1,0,0
29,2013,restaurant,POMPEI BAKERY,1531 W TAYLOR ST  1ST,FALSE,TRUE,NARCOTICS,1,1,0
30,2013,grocery store,TAJ MAHAL RESTAURANT,1512 W TAYLOR ST,FALSE,FALSE,CRIMINAL DAMAGE,1,1,0
31,2003,grocery store,HAWKEYE'S BAR & GRILL INC,1458 W TAYLOR ST,FALSE,FALSE,THEFT,1,0,0
32,2005,grocery store,HAWKEYE'S BAR & GRILL INC,1458 W TAYLOR ST,FALSE,FALSE,THEFT,1,0,0
33,2017,grocery store,FRANCESCA'S ON TAYLOR,1400 W TAYLOR ST 1ST,FALSE,FALSE,ASSAULT,1,0,0
34,2012,grocery store,TAYLOR MADE PIZZA,1220 W TAYLOR ST,FALSE,FALSE,MOTOR VEHICLE THEFT,1,0,0
35,2013,grocery store,TUSCANY RESTAURANT,1014-1018 W TAYLOR ST 1ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
36,2005,grocery store,TUSCANY RESTAURANT,1014-1018 W TAYLOR ST 1ST,FALSE,FALSE,NARCOTICS,1,1,0
37,2016,grocery store,TUSCANY RESTAURANT,1014-1018 W TAYLOR ST 1ST,FALSE,FALSE,OTHER OFFENSE,1,1,0
38,2006,grocery store,WHITE HEN#0-8102-5,899 S PLYMOUTH CT,FALSE,FALSE,BATTERY,1,0,0
39,2005,grocery store,WHITE HEN#0-8102-5,899 S PLYMOUTH CT,FALSE,FALSE,INTIMIDATION,1,0,0
40,2003,restaurant,Northern Trust - Tech Center,840 S CANAL ST 5TH,FALSE,TRUE,THEFT,1,0,0
41,2005,restaurant,Northern Trust - Tech Center,840 S CANAL ST 5TH,FALSE,TRUE,THEFT,1,1,0
42,2014,restaurant,Northern Trust - Tech Center,840 S CANAL ST 5TH,FALSE,TRUE,THEFT,1,0,0
43,2003,restaurant,URBAN GROCERY,729 S STATE ST 1ST,TRUE,FALSE,BATTERY,1,1,0
44,2013,grocery store,HACKNEY'S PRINTERS' ROW,731 - 733 S DEARBORN ST,FALSE,FALSE,THEFT,1,0,0
45,2006,restaurant,KASEY'S TAVERN,701 S DEARBORN ST,FALSE,TRUE,NARCOTICS,1,1,0
46,2012,restaurant,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,FALSE,TRUE,BATTERY,2,1,0
47,2014,restaurant,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,FALSE,TRUE,BATTERY,1,0,0
48,2006,restaurant,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,FALSE,TRUE,CRIMINAL DAMAGE,1,0,0
49,2014,restaurant,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,FALSE,TRUE,MOTOR VEHICLE THEFT,1,0,0
50,2016,restaurant,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,FALSE,TRUE,MOTOR VEHICLE THEFT,1,0,0
51,2006,restaurant,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,FALSE,TRUE,NARCOTICS,1,1,0
52,2002,restaurant,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,FALSE,TRUE,THEFT,1,0,0
53,2003,restaurant,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,FALSE,TRUE,THEFT,1,0,0
54,2009,restaurant,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,FALSE,TRUE,WEAPONS VIOLATION,1,1,0
55,2006,restaurant,CAFFE LaSCALA OF CHICAGO,626-628 S RACINE AVE # 1ST,FALSE,FALSE,THEFT,1,0,0
56,2012,grocery store,VILLAINS BAR & GRILL,649 S CLARK ST 1ST,FALSE,FALSE,BATTERY,1,0,0
57,2005,grocery store,VILLAINS BAR & GRILL,649 S CLARK ST 1ST,FALSE,FALSE,NARCOTICS,1,1,0
58,2007,grocery store,VILLAINS BAR & GRILL,649 S CLARK ST 1ST,FALSE,FALSE,NARCOTICS,1,1,0
