,ID,Primary Type,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
365070,7542499,THEFT,49.0,2010,41.69375068,-87.61218491,170314909011020,490901,1020
130817,7452896,CRIMINAL DAMAGE,66.0,2010,41.77362411,-87.69477691,170316608004005,660800,4005
321534,7469108,THEFT,43.0,2010,41.76610239,-87.57353917,170314306001008,430600,1008
361878,7585131,THEFT,76.0,2010,41.97597959,-87.84521442,170317608032001,760803,2001
246905,7863549,OTHER OFFENSE,76.0,2010,41.97486195,-87.89037215,170319800001010,980000,1010
227937,7492378,NARCOTICS,25.0,2010,41.89400653,-87.75150806,170312516001005,251600,1005
192603,7455257,MOTOR VEHICLE THEFT,61.0,2010,41.80779134,-87.66737553,170316113003004,611300,3004
274577,7770252,ROBBERY,49.0,2010,41.72162720000001,-87.62448518,170318340002029,834000,2029
921,7614879,ASSAULT,32.0,2010,41.87950547,-87.62668316,170313204001020,320400,1020
307891,7657860,THEFT,7.0,2010,41.92536952,-87.65391377,170310710001000,071000,1000
280761,7572024,ROBBERY,22.0,2010,41.92467279,-87.71109499,170312206011006,220601,1006
90710,7615315,BURGLARY,32.0,2010,41.86852886,-87.62585316,170313206001010,320600,1010
247538,7771889,OTHER OFFENSE,49.0,2010,41.72954588,-87.62961129,170318340001016,834000,1016
330248,7632312,THEFT,22.0,2010,41.93022935,-87.70295606,170312205001010,220500,1010
250459,7365094,OTHER OFFENSE,33.0,2010,41.86533688,-87.62578556,170313301001007,330100,1007
274921,7947158,ROBBERY,27.0,2010,41.88389977,-87.70620631,170318368002011,836800,2011
360058,7538264,THEFT,71.0,2010,41.74790909,-87.66944227,170317105003006,710500,3006
16690,7363247,ASSAULT,67.0,2010,41.77320409,-87.66531387,170316715001002,671500,1002
228431,7362889,NARCOTICS,25.0,2010,41.88166568,-87.75422728,170312518001007,251800,1007
227911,7469078,NARCOTICS,25.0,2010,41.91046614,-87.75198317,170312502002013,250200,2013
284155,7732063,ROBBERY,68.0,2010,41.78657396,-87.64252194,170318348003001,834800,3001
288290,7614813,ROBBERY,75.0,2010,41.680327899999995,-87.67286825,170317505004018,750500,4018
336515,7782336,THEFT,26.0,2010,41.88077315,-87.72181039,170312608001000,260800,1000
50954,7354722,BATTERY,27.0,2010,41.88630283,-87.71464045,170318368001018,836800,1018
113969,7548188,CRIM SEXUAL ASSAULT,68.0,2010,41.77437906,-87.63809225,170316809003011,680900,3011
299350,7709919,THEFT,8.0,2010,41.90377576,-87.63932407,170318383001002,838300,1002
235862,7560239,NARCOTICS,68.0,2010,41.7720968,-87.63871077,170316812003006,681200,3006
177628,7509612,DECEPTIVE PRACTICE,53.0,2010,41.68240717,-87.65666613,170315303004010,530300,4010
3220,7791807,ASSAULT,50.0,2010,41.70751943,-87.60183902,170315002001000,500200,1000
75028,7823711,BATTERY,69.0,2010,41.76331226,-87.59941694,170318418002045,841800,2045
110891,7449718,BURGLARY,44.0,2010,41.74109356,-87.61141361,170314402023001,440202,3001
250901,7581894,OTHER OFFENSE,42.0,2010,41.77513633,-87.59028190000001,170318439002005,843900,2005
346998,7416409,THEFT,41.0,2010,41.79721087,-87.58218984,170314109003009,410900,3009
145597,7714845,CRIMINAL DAMAGE,42.0,2010,41.78022666,-87.59619567,170318344002002,834400,2002
295979,7514702,THEFT,8.0,2010,41.897414000000005,-87.63469509,170310818002022,081800,2022
268706,7575770,PROSTITUTION,23.0,2010,41.90468595,-87.72636516,170312306002000,230600,2000
43483,7827967,BATTERY,28.0,2010,41.86663152,-87.68470329,170312828001018,282800,1018
149502,7334953,CRIMINAL DAMAGE,68.0,2010,41.75714235,-87.64176746,170316813003013,681300,3013
241694,7436388,NARCOTICS,73.0,2010,41.71857596,-87.65968599,170317304002006,730400,2006
256798,7625004,OTHER OFFENSE,23.0,2010,41.90438804,-87.72193775,170312307003010,230700,3010
