,Account Number,Latitude,Longitude,Legal Name,Address,FIPS,Tract,Block
0,1,41.87934194,-87.62841189,BERGHOFF RESTAURANT COMPANY OF DELAWARE,17 W ADAMS ST BSMT & 1ST,170318391001091,839100,1091
1,36,41.88562426,-87.62529649999999,"OLD TIMER'S RESTAURANT & BAR, INC.",75 E LAKE ST 1ST,170313201002021,320100,2021
2,53,41.86937118,-87.65278082,LITTLE JOE'S CIRCLE LOUNGE INC,1041 W TAYLOR ST,170318333001026,833300,1026
3,119,41.88243401,-87.63103701,MAXIM'S RESTAURANT INC,20 N CLARK ST,170318391001063,839100,1063
4,147,41.88452436,-87.62776455,WALGREEN CO.,151 N STATE ST 1ST,170313201002025,320100,2025
5,149,41.87472706,-87.62936034,"PRINTER'S ROW RESTAURANT, INC.",550 S DEARBORN ST 1ST,170318391002045,839100,2045
6,195,41.88649138,-87.66686458,GEORGE ZAYED,235 N ASHLAND AVE,170318330002035,833000,2035
7,202,41.8856185,-87.63412236,NIMAK CORP,205-207 W LAKE ST,170318391001033,839100,1033
8,213,41.88411358,-87.65808167,"1235 W RANDOLPH, INC",1235 W RANDOLPH ST 1ST,170318330002065,833000,2065
9,240,41.8805919,-87.63044233,"ITALIAN VILLAGE RESTAURANT, INC.",71 W MONROE ST,170318391001088,839100,1088
10,241,41.88755604,-87.61965509,CHICAGO PALM INC,323 E WACKER DR,170313201003008,320100,3008
11,260,41.86957096,-87.65400921,LUPE INC,1074 W TAYLOR ST 1ST,170318333001034,833300,1034
12,268,41.87953523,-87.63002421,J V ENTERPRISES INC,60 W ADAMS ST,170318391001089,839100,1089
13,269,41.88185674,-87.63189616,MARQUETTE INN NO. 4 INC.,135 W MADISON ST,170318391001069,839100,1069
14,278,41.87236137,-87.63046721,"THOMAS LIQUORS, INC.",755 S CLARK ST 1ST,170318390001000,839000,1000
15,284,41.88458066,-87.63342842,178 RANDOLPH REST. INC.,178 W RANDOLPH ST,170318391001043,839100,1043
16,300,41.87819911,-87.65717828,JOHN S POULOS,228 S RACINE AVE,170318331002007,833100,2007
17,2805,41.88307596,-87.6384126,COMBINED ENTERPRISES INC,409 W WASHINGTON ST 1ST,170312801002026,280100,2026
18,3206,41.87853128,-87.63942746,"SCHERMERHORN CIGAR STORES, INC.",225 S CANAL ST MEZZANINE 3,170312819001001,281900,1001
19,3330,41.88685112,-87.6520301,"MORGAN RESTAURANT, INC.",954 W FULTON MARKET,170318330001009,833000,1009
20,3453,41.88786189,-87.62541304,75 EAST WACKER DRIVE INC,75 E WACKER DR,170313201002005,320100,2005
21,3478,41.87374514,-87.62612746,GEORGE DIAMOND STEAK HOUSE INC,630 S WABASH AVE,170313206002003,320600,2003
22,3530,41.86801513,-87.64207038,"MANNY'S COFFEE SHOP, INC.",1131-1141 S JEFFERSON ST,170318419002027,841900,2027
23,3644,41.87666158,-87.62442805,ANGELA MITCHELL,412 S MICHIGAN AVE,170313204001032,320400,1032
24,3686,41.88166429,-87.63888744,10 SOUTH RIVERSIDE CORP,10 S RIVERSIDE PLZ,170312819003001,281900,3001
25,3727,41.87677125,-87.63106138,BONI VINO'S INC,109 - 111 W VAN BUREN ST,170318391002021,839100,2021
26,3778,41.87947693,-87.63547605,MARQUETTE INN INC # 8,306-308 W ADAMS ST 1ST,170318391002001,839100,2001
27,3849,41.87441658,-87.63027416,GOOD FRIENDS PLUS ONE LIMITED,75 W HARRISON ST 1ST,170318390001000,839000,1000
28,3886,41.8758026,-87.62573441,AUDITORIUM THEATRE COUNCIL,50 E CONGRESS PKWY MAIN LOBBY,170313204001032,320400,1032
29,3901,41.8856235,-87.62537382,"SALVADOR'S MEXICAN RESTAURANT ON RANDOLPH STREET, INC.",73 E LAKE ST 1ST,170313201002021,320100,2021
30,4064,41.8830946,-87.63563266,BILLY GOAT #2 INC,309 W WASHINGTON ST,170318391001054,839100,1054
31,4116,41.88092404,-87.62493420000001,UNIVERSITY CLUB OF CHICAGO,76 E MONROE ST LL-12,170313204001008,320400,1008
32,4127,41.8846865,-87.65430246,"MART ANTHONY, INC.",155 N ABERDEEN ST,170318330001041,833000,1041
33,4141,41.88241091,-87.63717471,THE TOWER CLUB,20 N WACKER DR,170318391001058,839100,1058
34,4152,41.88102972,-87.61728157,CHICAGO YACHT CLUB,400 E MONROE DR,170313201001003,320100,1003
35,4154,41.87929007,-87.63236273,"MARRIOTT HOTEL SERVICES, INC.",151 W ADAMS ST,170318391001096,839100,1096
36,4210,41.88743652,-87.62634441,"P. J. WELLS, INC.",45 E RIVERWALK SOUTH,170313201002005,320100,2005
37,4256,41.88306562,-87.61545613,COLUMBIA YACHT CLUB,111 N LAKE SHORE DR,170310814031007,081403,1007
38,4398,41.88454011,-87.62430852,"LASTRADA, INC.",151 N MICHIGAN AVE,170313201002029,320100,2029
39,4513,41.87934194,-87.62841189,"BERGHOFF CATERING AND RESTAURANT GROUP, INC.",17 W ADAMS ST,170318391001091,839100,1091
40,4624,41.88323435,-87.63664906,ONE-O-ONE LIMITED,101 N WACKER DR 1ST,170318391001050,839100,1050
41,4670,41.88153436,-87.65565022,BEER'S SANDWICH INC,1133 W MADISON ST 1ST,170318331001012,833100,1012
42,4691,41.88594379,-87.62779732,"GOVNOR'S PUB, INC.",207 N STATE ST,170313201002023,320100,2023
43,4711,41.88463208,-87.62224799,THE MID-AMERICA CLUB,200 E RANDOLPH ST 80TH,170313201002032,320100,2032
44,5443,41.87800198,-87.63440913,"JODABARS, INCORPORATED",223 W JACKSON BLVD,170318391002012,839100,2012
45,5787,41.88188623,-87.63661833,G P ANTONS RESTAURANT INC,1 S WACKER DR,170318391001072,839100,1072
46,5877,41.87676255,-87.63211782,CLUB CAR INC,139 W VAN BUREN ST 1ST,170318391002020,839100,2020
47,6019,41.872766999999996,-87.62929402,"GOURMAND, INC.",728 S DEARBORN ST 1ST,170318390004003,839000,4003
48,6119,41.88173388,-87.65671488,"FOUR STARS RESTAURANT & LOUNGE, INC.",1164 W MADISON ST,170318330002111,833000,2111
49,6157,41.87588847,-87.63188472,LASALLE CLUB INC.,440 S LA SALLE ST 3RD,170318391002020,839100,2020
50,6177,41.88429076,-87.66113386,INTIMATE AFFAIRS CATERING,1360 W RANDOLPH ST 1ST,170318330002038,833000,2038
51,6257,41.8822157,-87.62955625,TEN NORTH DEARBORN RESTAURANT CORPORATION,10 N DEARBORN ST,170318391001076,839100,1076
52,6263,41.88421928,-87.65195445,MARKET STREET TAVERN INC,955 W RANDOLPH ST,170318330001046,833000,1046
53,6284,41.86488802,-87.61740113,ARAMARK SPORTS & ENT. INC.,425 E MCFETRIDGE DR,170313301004017,330100,4017
54,6287,41.87677257,-87.63092995,"KARZ, INC.",105 W VAN BUREN ST  1,170318391002021,839100,2021
55,6324,41.86933228,-87.65510679,"BERT'S PLACE, INC",1119 W TAYLOR ST  1ST,170318333001035,833300,1035
56,6501,41.8694111,-87.66401783,HAWKEYE'S BAR & GRILL INC,1458 W TAYLOR ST,170312831002007,283100,2007
57,6525,41.87305558,-87.62741781,SOUTH LOOP CLUB INC,701 S STATE ST,170313206002005,320600,2005
58,6594,41.87660788,-87.62910865,CHICAGO OYSTER INC,411 S DEARBORN ST,170318391002024,839100,2024
59,6682,41.88527796,-87.62778288,INTER-TRACK PARTNERS L.L.C.,177 N STATE ST,170313201002024,320100,2024
60,7028,41.8765621,-87.63353978,"MARS & MARS COMPANY, INC.",411 S WELLS ST 1ST,170318391002018,839100,2018
61,7032,41.87332434,-87.62902170000001,WHITEHILL CORP,701 S DEARBORN ST,170318390004001,839000,4001
62,7036,41.87961696,-87.62449996,"STEAK AND ALE OF ILLINOIS, INC./WILLIAM J. HOFFMAN, RECEIVER",150 S MICHIGAN AVE # 1ST,170313204001013,320400,1013
63,7060,41.86639773,-87.62724502,"TOMMY GUN'S GARAGE, INC.",1237-1239 S STATE ST,170313301001005,330100,1005
64,7081,41.88428084,-87.64845424,S & S SNACK SHOP INC,823 W RANDOLPH ST 1ST,170318330001049,833000,1049
65,7098,41.87856015,-87.63652387,LEVY TOWER LIMITED PARTNERSHIP,233 S WACKER DR,170318391002006,839100,2006
66,7318,41.87305962,-87.62611159,CHECKERBOARD PRODUCTIONS INC,700 S WABASH AVE 1 & 2,170313206002006,320600,2006
67,7491,41.87802566,-87.63206229,AXION CORPORATION,141 W JACKSON BLVD 1ST A112,170318391001106,839100,1106
68,7495,41.87684968,-87.64198533,560 RESTAURANT INC,560 W VAN BUREN ST,170312819001023,281900,1023
69,7965,41.871444200000006,-87.62607513,BURNHAM PLAZA MART INC,828 S WABASH AVE,170313206002012,320600,2012
70,8078,41.87736776,-87.63385357,"BILLY GOAT TAVERN III, INC",330 S WELLS ST,170318391002012,839100,2012
71,8337,41.87346118,-87.65695845,"JRS 626 PARTNERS, INC.",626-628 S RACINE AVE # 1ST,170318329002019,832900,2019
72,8582,41.87448117,-87.62935654,TASTE OF SIAM INC,600 S DEARBORN ST 1ST,170318390004002,839000,4002
73,8710,41.86953072,-87.65642987,"ROSAL'S CUCINA, INC.",1154 W TAYLOR ST 1ST AND 2ND,170318333001029,833300,1029
74,8716,41.87882623,-87.63360565,GUS & JIM'S INC,217 S WELLS ST,170318391001096,839100,1096
75,8914,41.86960863,-87.65171626,"TUSCANY RISTORANTE, INC.",1014-1018 W TAYLOR ST 1ST,170318333001024,833300,1024
76,8970,41.88053925,-87.63459246,"COMPASS GROUP USA, INC.",227 W MONROE ST 29,170318391002000,839100,2000
77,9261,41.88576112,-87.63259515,SERTANO'S DELI INC,200 N LA SALLE ST,170318391001025,839100,1025
78,9348,41.88524323,-87.63716479,THE 180 NORTH WACKER RESTAURANT CORPORATION,180 N WACKER DR,170318391001053,839100,1053
79,9349,41.86921678,-87.66249389,ILLINOIS BAR & GRILL INC,1421 W TAYLOR ST 1ST,170312831001000,283100,1000
80,9422,41.88779017,-87.62127871,MORTLEV COMPANY,233 E WACKER DR,170313201002018,320100,2018
81,9483,41.8769812,-87.65715348,"HOSTERIA TUTTO BENE,INC",324 S RACINE AVE,170318331002015,833100,2015
82,9511,41.86944828,-87.66170605,DOPPES LTD.,1400 W TAYLOR ST 1ST,170312831002001,283100,2001
83,9582,41.87902919,-87.62448586,CHICAGO SYMPHONY ORCHESTRA,220 S MICHIGAN AVE,170313204001014,320400,1014
