,Tract,Block,#BusinessWithLiquorLicense,#Crimes,#Arrests
0,81403,1007,3,252,78
1,280100,1001,1,367,102
2,280100,1013,2,367,102
3,280100,2000,2,363,102
4,280100,2001,2,365,103
5,280100,2023,1,370,104
6,280100,2025,1,369,105
7,280100,2026,1,364,104
8,281900,1001,2,364,105
9,281900,1002,2,366,106
10,281900,1005,2,361,105
11,281900,1023,3,360,104
12,281900,3001,1,367,106
13,281900,3005,2,365,106
14,283100,1000,10,232,52
15,283100,1001,1,234,58
16,283100,2001,1,235,52
17,283100,2006,1,231,54
18,283100,2007,1,232,54
19,283200,1006,3,237,53
20,283200,1007,3,234,53
21,283200,1008,1,234,55
22,320100,1002,2,271,84
23,320100,1003,1,259,80
24,320100,1010,1,298,92
25,320100,1012,1,308,92
26,320100,1015,1,322,96
27,320100,1016,1,326,96
28,320100,1018,4,315,93
29,320100,1020,3,309,92
30,320100,2004,2,290,90
31,320100,2005,9,314,97
32,320100,2011,1,316,97
33,320100,2012,2,318,97
34,320100,2013,3,313,97
35,320100,2014,4,311,96
36,320100,2015,1,314,97
37,320100,2016,2,312,97
38,320100,2018,2,292,90
39,320100,2019,2,308,96
40,320100,2021,5,313,96
41,320100,2022,5,314,97
42,320100,2023,3,316,97
43,320100,2024,6,318,97
44,320100,2025,1,324,97
45,320100,2027,1,315,94
46,320100,2029,4,314,94
47,320100,2030,1,311,96
48,320100,2032,8,298,92
49,320100,2034,5,306,93
50,320100,3004,1,276,88
51,320100,3008,5,285,90
52,320100,3009,2,259,83
53,320100,3010,6,267,86
54,320100,3011,1,256,82
55,320100,4007,1,264,85
56,320400,1008,7,305,92
57,320400,1009,3,313,93
58,320400,1010,10,316,93
59,320400,1011,5,313,94
60,320400,1013,4,312,91
61,320400,1014,2,308,90
62,320400,1018,1,315,92
63,320400,1019,1,313,92
64,320400,1020,3,318,93
65,320400,1025,1,284,84
66,320400,1032,4,300,88
67,320400,1033,1,310,90
68,320400,1034,2,314,91
69,320400,1035,2,314,91
70,320400,1040,1,297,88
71,320400,1043,1,309,89
72,320600,1008,2,282,86
73,320600,1009,1,273,84
74,320600,1010,5,288,87
75,320600,2001,2,290,86
76,320600,2002,1,296,87
77,320600,2003,4,296,86
78,320600,2005,1,303,88
79,320600,2006,2,298,88
80,320600,2007,4,288,87
81,320600,2010,5,287,87
82,320600,2012,3,294,87
83,320600,2013,3,302,88
84,320600,2014,2,293,89
85,330100,1001,4,255,78
86,330100,1003,1,261,78
87,330100,1005,1,265,78
88,330100,1007,3,247,76
89,330100,1008,7,249,77
90,330100,1009,1,245,74
91,330100,1010,6,244,74
92,330100,3000,2,244,74
93,330100,3008,2,243,74
94,330100,3009,5,241,72
95,330100,3013,1,240,73
96,330100,3014,1,231,73
97,330100,4006,1,146,53
98,330100,4011,2,175,58
99,330100,4012,3,244,74
100,330100,4013,2,230,73
101,330100,4017,5,230,73
102,330200,2012,3,238,75
103,832900,1009,3,248,61
104,832900,2019,2,252,59
105,833000,1004,1,390,112
106,833000,1009,2,387,110
107,833000,1013,3,390,111
108,833000,1018,6,387,111
109,833000,1019,1,401,111
110,833000,1020,4,399,109
111,833000,1021,3,401,111
112,833000,1023,2,406,114
113,833000,1024,5,402,111
114,833000,1026,4,408,114
115,833000,1029,10,403,113
116,833000,1030,7,404,115
117,833000,1031,1,399,111
118,833000,1032,1,391,109
119,833000,1033,2,384,109
120,833000,1034,2,388,113
121,833000,1038,3,370,109
122,833000,1040,1,368,109
123,833000,1041,1,352,103
124,833000,1046,6,383,109
125,833000,1047,2,393,111
126,833000,1048,5,402,116
127,833000,1049,4,403,114
128,833000,1053,3,383,107
129,833000,1056,2,374,109
130,833000,1059,1,402,115
131,833000,1060,1,401,114
132,833000,1061,1,401,113
133,833000,1063,3,379,107
134,833000,1067,1,401,114
135,833000,1068,1,396,113
136,833000,1074,2,398,113
137,833000,2015,1,291,70
138,833000,2022,1,270,63
139,833000,2030,1,284,66
140,833000,2035,2,266,62
141,833000,2038,7,292,72
142,833000,2040,1,288,67
143,833000,2044,1,318,93
144,833000,2052,1,286,70
145,833000,2053,1,296,77
146,833000,2056,2,346,101
147,833000,2059,3,355,104
148,833000,2063,1,288,71
149,833000,2065,2,295,74
150,833000,2066,1,288,70
151,833000,2068,1,276,65
152,833000,2082,1,356,103
153,833000,2084,1,342,98
154,833000,2088,1,290,74
155,833000,2090,1,270,64
156,833000,2099,4,277,65
157,833000,2107,1,332,95
158,833000,2110,4,343,97
159,833000,2111,3,321,91
160,833100,1006,3,377,109
161,833100,1007,4,343,96
162,833100,1012,4,340,98
163,833100,1014,1,340,96
164,833100,1021,3,373,111
165,833100,1023,5,364,111
166,833100,2007,2,292,78
167,833100,2015,3,272,67
168,833100,2019,1,351,104
169,833100,3011,2,263,61
170,833300,1011,1,294,85
171,833300,1024,1,284,83
172,833300,1026,1,282,82
173,833300,1029,1,239,58
174,833300,1034,2,276,79
175,833300,1035,1,259,64
176,838100,1007,1,255,60
177,838100,2031,2,253,61
178,839000,1000,4,318,92
179,839000,1001,2,322,92
180,839000,2000,1,319,92
181,839000,2001,1,292,85
182,839000,3002,3,314,89
183,839000,4001,3,314,91
184,839000,4002,4,319,90
185,839000,4003,1,315,91
186,839100,1011,1,319,97
187,839100,1012,3,330,98
188,839100,1013,1,334,98
189,839100,1016,1,337,98
190,839100,1017,4,337,98
191,839100,1018,2,334,98
192,839100,1020,3,318,97
193,839100,1024,1,338,98
194,839100,1025,3,338,98
195,839100,1027,3,346,99
196,839100,1033,4,344,98
197,839100,1035,1,334,98
198,839100,1036,2,326,97
199,839100,1038,4,324,97
200,839100,1039,1,329,97
201,839100,1042,4,340,98
202,839100,1043,2,341,98
203,839100,1045,4,348,98
204,839100,1048,1,345,98
205,839100,1050,4,358,101
206,839100,1053,1,352,99
207,839100,1054,3,351,99
208,839100,1055,2,349,99
209,839100,1056,1,346,99
210,839100,1057,2,346,99
211,839100,1058,2,359,102
212,839100,1060,1,364,100
213,839100,1061,1,349,99
214,839100,1063,1,339,98
215,839100,1066,4,330,96
216,839100,1067,4,329,96
217,839100,1068,3,332,97
218,839100,1069,3,340,97
219,839100,1071,1,358,99
220,839100,1072,2,366,102
221,839100,1074,3,363,103
222,839100,1075,1,326,96
223,839100,1076,4,332,96
224,839100,1077,3,331,97
225,839100,1078,2,327,96
226,839100,1079,1,323,95
227,839100,1081,1,326,97
228,839100,1086,1,349,100
229,839100,1087,1,362,104
230,839100,1088,1,331,97
231,839100,1089,3,331,96
232,839100,1091,2,323,94
233,839100,1093,4,337,98
234,839100,1095,5,344,97
235,839100,1096,4,340,98
236,839100,1099,1,340,98
237,839100,1101,1,323,93
238,839100,1102,3,325,94
239,839100,1104,2,328,94
240,839100,1105,1,335,94
241,839100,1106,1,336,95
242,839100,1107,3,344,99
243,839100,2000,2,348,99
244,839100,2001,3,355,103
245,839100,2003,3,364,107
246,839100,2004,4,364,106
247,839100,2006,5,361,105
248,839100,2008,1,351,103
249,839100,2012,4,351,103
250,839100,2013,3,355,105
251,839100,2014,1,361,106
252,839100,2016,7,349,103
253,839100,2018,2,345,100
254,839100,2020,5,337,96
255,839100,2021,5,330,94
256,839100,2024,2,322,92
257,839100,2028,4,322,90
258,839100,2033,1,343,101
259,839100,2045,1,320,90
260,839100,2046,2,321,90
261,841900,1012,1,350,104
262,841900,1054,1,347,100
263,841900,1064,1,327,93
264,841900,2019,1,322,92
265,841900,2023,1,322,94
266,841900,2024,2,316,91
267,841900,2027,1,325,92
268,841900,2040,7,295,85
269,841900,2041,6,295,85
270,841900,2045,1,296,83
271,841900,2052,1,289,84
272,841900,2074,1,318,92
