ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2147568-20120427,2147568,63414,154,STARBUCKS CORPORATION,STARBUCKS COFFEE #22949,200 N MICHIGAN AVE 1 1,CHICAGO,IL,60604,42,9,42-9,1,1010,Limited Business License,,,2147568,ISSUE,04/06/2012,04/13/2012,04/27/2012,N,04/27/2012,04/15/2013,04/27/2012,04/27/2012,AAC,08/31/2012,,41.885801546,-87.624659771,"(41.885801546318, -87.62465977106316)"
2147567-20120515,2147567,63414,154,STARBUCKS CORPORATION,STARBUCKS COFFEE #22949,200 N MICHIGAN AVE 1 1,CHICAGO,IL,60604,42,9,42-9,1,1006,Retail Food Establishment,,,2147567,ISSUE,04/06/2012,04/13/2012,04/27/2012,N,05/15/2012,04/15/2013,05/14/2012,05/15/2012,AAC,03/29/2016,,41.885801546,-87.624659771,"(41.885801546318, -87.62465977106316)"
2089469-20150416,2381475,63414,147,STARBUCKS CORPORATION,STARBUCKS COFFEE #15683,8 N MICHIGAN AVE 1 1,CHICAGO,IL,60602,42,9,42-9,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2089469,RENEW,,02/15/2015,03/18/2015,N,04/16/2015,04/15/2017,03/18/2015,03/18/2015,AAC,08/31/2016,,41.882288177,-87.624517791,"(41.882288176801794, -87.62451779096743)"
1884265-20080916,1916729,1621,1,THE CLEARING CORPORATION,THE CLEARING CORPORATION,227 W MONROE ST 15 1500,CHICAGO,IL,60606,42,49,42-49,1,1010,Limited Business License,,,1884265,RENEW,,07/15/2008,09/18/2008,N,09/16/2008,09/15/2010,09/18/2008,09/19/2008,AAC,04/12/2010,,41.88053925,-87.634592464,"(41.88053924995021, -87.63459246351388)"
83865-20101016,2050612,13118,2,"MIDWEST GENERATION EME, LLC","MIDWEST GENERATION EME, LLC",440 S LA SALLE ST  3500,CHICAGO,IL,60605,4,49,4-49,1,1010,Limited Business License,,,83865,RENEW,,08/16/2010,10/13/2010,N,10/16/2010,10/15/2012,10/13/2010,10/13/2010,AAC,10/12/2012,,41.87588847,-87.631884721,"(41.87588847004054, -87.63188472119873)"
2009158-20100316,2016638,349423,1,"MIND YOUR MANNERS, LIMITED",The William Everett Group,22 W WASHINGTON ST 14 1490,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,2009158,RENEW,,01/15/2010,05/21/2010,N,03/16/2010,03/15/2012,05/21/2010,05/21/2010,AAC,11/04/2011,1,41.883327829,-87.628689923,"(41.88332782850659, -87.62868992320665)"
1820371-20120516,2145313,311724,1,"FLIRTY GIRL FITNESS CHICAGO, LLC",FLIRTY GIRL FITNESS CHICAGO,1325 W RANDOLPH ST 1,CHICAGO,IL,60607,27,7,27-7,12,1010,Limited Business License,,,1820371,RENEW,,03/15/2012,05/15/2012,N,05/16/2012,05/15/2014,05/15/2012,05/21/2012,AAC,10/15/2012,,41.88408814,-87.659872222,"(41.8840881399805, -87.65987222180725)"
37501-20160416,2447698,15423,1,EXODUS DEVELOPMENT CO INC,EXODUS DEVELOPMENT & CO INC,53 W JACKSON BLVD 12 1222,CHICAGO,IL,60604,4,49,4-49,1,1010,Limited Business License,,,37501,RENEW,,02/15/2016,04/15/2016,N,04/16/2016,04/15/2018,04/15/2016,09/01/2016,AAC,09/01/2016,,41.878050681,-87.629781008,"(41.878050680824906, -87.62978100842273)"
2446535-20160308,2446535,29168,8,"CHICAGO BUILDING CONSULTING SERVICES, INC.",EMILY RYAN,205 W RANDOLPH ST 9TH 935,CHICAGO,IL,60606,42,9,42-9,1,4404,Regulated Business License,654,Employee of Expediter Service,2446535,ISSUE,01/27/2016,01/28/2016,01/28/2016,N,03/08/2016,09/15/2016,03/08/2016,03/08/2016,AAC,09/01/2016,,41.884359193,-87.634079901,"(41.88435919296336, -87.6340799011323)"
1916071-20140916,2346634,334086,1,BLACKROCK KELSO CAPITAL ADVISORS LLC,BLACKROCK KELSO CAPITAL ADVISORS LLC,227 W MONROE ST 28TH 2800,CHICAGO,IL,60606,42,49,42-49,1,1010,Limited Business License,895,Nail Services,1916071,RENEW,,07/15/2014,08/26/2014,N,09/16/2014,09/15/2016,08/26/2014,08/27/2014,AAC,09/01/2016,,41.88053925,-87.634592464,"(41.88053924995021, -87.63459246351388)"
