Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
2081499,ASADO COFFEE ROASTERS,ASADO COFFEE ROASTERS,0,Restaurant,Risk 2 (Medium),22 E JACKSON BLVD,CHICAGO,IL,60604,09/05/2017,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED APPROXIMATELY 17 LIVE SMALL FLIES ON THE WALL INSIDE OF THE FOOD PREP AREA. FACILITY ALSO HAS NO CURRENT PEST CONTROL CONTRACT FOR SERVICE. INSTRUCTED TO CLEAN AND SANITIZE THE NOTED AREAS AND PROVIDE ADDITIONAL PEST CONTROL TO EIMINATE THE ACTIVITY. FACILITY MUST ALSO PROVIDE A CURRENT PEST CONTROL CONTRACT. SERIOUS VIOLATIONS 7-38-020",41.878336071547935,-87.62689227478914,"(41.878336071547935, -87.62689227478914)"
1467372,"QuiteFrankly,Ltd.",UPS Cafeteria,0,Restaurant,Risk 1 (High),1400 S JEFFERSON ST,CHICAGO,IL,60607,07/02/2014,Canvass,Out of Business,,41.86350135244771,-87.64220950077579,"(41.86350135244771, -87.64220950077579)"
413465,JW MARRIOT CHICAGO,JW MARRIOT CHICAGO,0,Restaurant,,151 W Adams ST,CHICAGO,IL,60603,09/15/2010,Pre-License Consultation,Fail,,41.87929007329572,-87.63236272529976,"(41.87929007329572, -87.63236272529976)"
1970312,COSI,COSI,2,Restaurant,Risk 1 (High),230 W MONROE ST,CHICAGO,IL,60606,10/27/2016,Canvass,Fail,"3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: FOUND POTENTIALLY HAZARDOUS FOODS MAINTAINED AT IMPROPER COLD TEMPSEATURES INSIDE COOLERS. APPROX 2 (3-LB EACH) PACKAGES OF HAM AT IMPROPER  TEMPERATURES OF 45.0F,44.0F, 2-PLAIN CREAM CHEESE TUBS (3-LBS EACH AND 1LB INSIDE COOLER AT 47.0F,45.6F,44.9F.MUST PLAINTAIN COLD FOODS AT 40.0F OR BELOW. FOODS REMOVED AND DISCARDED BY MANAGER APPROX 13-LBS AT COST/$50.00,CDI.CRITICAL VIOLATION ISSUED 7-38-005A | 6. HANDS WASHED AND CLEANED, GOOD HYGIENIC PRACTICES; NO BARE HAND CONTACT WITH READY-TO-EAT FOODS. - Comments: OBSERVED EMPLOYEES PREPARING FOOD ORDERS AND HANDLING FOOD USING POOR HYGENIC PRACTICES,(IE NOT WASHING HANDS ). ONE EMPLOYEE PREPARING READY TO EAT FOODS  WITH GLOVES ON ADJUSTING HAT TOUCHING HAIR WHEN HAT ALMOST FELL OFF .EMPLOYEE DIDNT WASH HANDS ,KEPT SAME GLOVES ON TO FINISH ORDER.
THE NEXT EMPLOYEE LEFT FRONT PREP AREA BEHIND COUNTER, WHEN INTO THE BACK SEVERAL TIMES,EACH TIME HE CAME  BACK INTO THE PREP AREA., EMPLOYEE WOULD ONLY PUT GLOVES ON, SOMETIMES ONLY ONE GLOVE BUT NEVER WASHED HIS HANDS BEFORE HANDLING CUSTOMERS FOOD ORDERS.ALSO THE SAME EMPLOYEE TOUCHED MOVING HIS LONG BRAIDS WITH GLOVES ON AND DIDNT WASH HIS HANDS.INSTRUCTED THAT EMPLOYEES MUST WASH THEIR HANDS AFTER EACH ACTIVITY BEFORE HANDLING FOOD. CDI.CRITICAL VIOLATION ISSUED 7-38-010A | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: OBSERVED INADEQUATE FOOD PROTECTION OF ICE INSIDE ICE MACHINE.PINK AND BLACK SLIMY MOLD LIKE SUBSTANCE BUILD-UP ON UPPER AND WALL AREAS OF ICE MACHINE AND ATTACHED UPPER PARTS INSIDE ICE MACHINE.INSTRUCTED MANAGER  NOT TO USE MACHINE ,AND  ICE CANNOT BE USE-.MACHINE TAGGED HELD FOR INSPECTION. SERIOUS VIOLATION ISSUED 7-38-005A. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: LOWER WALLS UNDER 3-COMP SINK NOT CLEAN OF DEBRIS.MUST CLEAN/MAINTAIN. | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: OBSERVED SEVERAL EMPLOYEE NOT WEARING HAIR RESTRAINTS IN PREP AREA.MUST PROVIDE.",41.88075715864721,-87.6347092983425,"(41.88075715864721, -87.6347092983425)"
2078535,COSI,COSI,40,Restaurant,Risk 1 (High),233 N MICHIGAN AVE,CHICAGO,IL,60601,08/16/2017,Complaint Re-Inspection,Fail,"29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: SEE VIOLALTION #29 | 14. PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090 - Comments: OBSERVED PREVIOUS SERIOUS VIOLATION NOT CORRECTED FROM REPORT #2072109 DATED 8/9/17; 29-OBSERVED INTERIOR OF ICE MACHINE WITH A BROWNISH PINK SUBSTANCE BY THE ICE SLOT. INSTRUCTED TO CLEAN AND SANITIZE. INSTRUCTED TO CLEAN AND SANITIZE ICE MACHINE. ICE MACHINE TAGGED AND HELD FOR INSPECTION BY THE CHICAGO DEPARTMENT OF PUBLIC HEALTH AND CAN NOT BE USED UNTIL RE-INSPECTED BY CDPH. CRITICAL VIOLATION 7-42-090. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CORRECTED. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CORRECTED. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: OBSERVED NO THERMOMETERS INSIDE OF THE ONE DOOR AND 3 DOOR PREP COOLERS IN THE FRONT FOOD PREP AREA. INSTRUCTED TO PROVIDE. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: OBSERVED POTENTIALLY HAZARDOUS FOODS (SLICED TOMATOES) HELD FOR OVER 24 HOURS AND OUT OF THE ORIGINAL PACKAGE WITHOUT LABELS CONTAINING PRODUCT NAME AND DATE. INSTRUCTED TO PROVIDE LABELS FOR ALL FOODS THAT ARE OUT OF THE ORIGINAL PACKAGING AND HELD FOR OVER 24 HOURS. | 28. * INSPECTION REPORT SUMMARY DISPLAYED AND VISIBLE TO ALL CUSTOMERS - Comments: OBSERVED PREVIOUS INSPECTION REPORT SUMMARY FROM REPORT #2072109 DATED 8/9/17 NOT FOR DISPLAY AND VISIBLE TO ALL CUSTOMERS DURING RE-INSPECTION. MANAGER HAD PREVIOUS SUMMARY REPORT IN THE BACK EMPLOYEE OFFICE. INSTRUCTED TO ALWAYS DISPLAY MOST RECENT PREVIOUS INSPECTION REPORT SUMMARY. SERIOUS VIOLATION 7-42-010(B).",41.886567370886944,-87.62438467059714,"(41.886567370886944, -87.62438467059714)"
2072109,COSI,COSI,40,Restaurant,Risk 1 (High),233 N MICHIGAN AVE,CHICAGO,IL,60601,08/09/2017,Complaint,Fail,"3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: OBSERVED POTENTIALLY HAZARDOUS FOODS (SOUP TURKEY CHILI) 3 BAGS (3LBS EACH) OF TURKEY CHILI BEING STORED UNDER THE HOT HOLDING UNITS IN THE FOOD PREP AREA. ALL BAGS OF TURKEY CHILI WERE AT AN IMPROPER COLD HOLDING TEMPERATURE OF 51.3F. INSTRUCTED TO DISCARD AND DENATURE SAID ITEMS AND TO ALWAYS MAINTAIN ALL COLD POTENTIALLY HAZARDOUS FOODS AT 40F OR BELOW AT ALL TIMES. MANAGER DISCARDED SAID ITEMS. CRITICAL VIOLATION 7-38-005(A). | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: OBSERVED PREVIOUS MINOR VIOLATIONS NOT CORRECTED FROM REPORT #1995576 DATED ON MARCH 15, 2017; 33-OBSERVED INTERIOR OF ICE MACHINE WITH A BROWNISH PINK SUBSTANCE BY THE ICE SLOT. INSTRUCTED TO CLEAN AND SANITIZE.  35-OBSERVED BLACK SUBSTANCE AROUND THE 3 COMPARTMENT SINK ON THE WALL. INSTRUCTED TO CLEAN AND MAINTAIN. INSTRUCTED MANAGER TO CORRECT PREVIOUS MINOR VIOLATIONS. SERIOUS VIOLATION 7-42-090. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: OBSERVED POTENTIALLY HAZARDOUS FOODS (SLICED TOMATOES) HELD FOR OVER 24 HOURS AND OUT OF THE ORIGINAL PACKAGE WITHOUT LABELS CONTAINING PRODUCT NAME AND DATE. INSTRUCTED TO PROVIDE LABELS FOR ALL FOODS THAT ARE OUT OF THE ORIGINAL PACKAGING AND HELD FOR OVER 24 HOURS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED DIRT DEBRIS AND DEAD ROACHES UNDER THE 3 COMPARTMENT SINK AND AROUND THE GREASE TRAP. INSTRUCTED TO CLEAN AND SANITIZE FLOORS ALONG THE WALLS AND IN ALL CORNERS AND MAINTAIN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED ACCUMULATED DUST ON THE VENTS LOCATED ABOVE THE 3 COMPARTMENT SINK AND ABOVE THE ICE MACHINE. OBSERVED FOOD SPLATTERS ON THE CEILING ABOVE THE FRONT FOOD PREP AREA. INSTRUCTED TO CLEAN ALL SAID AREAS AND MAINTAIN. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: OBSERVED NO THERMOMETERS INSIDE OF THE ONE DOOR AND 3 DOOR PREP COOLERS IN THE FRONT FOOD PREP AREA. INSTRUCTED TO PROVIDE.",41.886567370886944,-87.62438467059714,"(41.886567370886944, -87.62438467059714)"
1372570,COSI,COSI,40,Restaurant,Risk 1 (High),233 N MICHIGAN AVE,CHICAGO,IL,60601,06/10/2014,Canvass,Fail,"24. DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED - Comments: DISH WASHING FACILITIES NOT MAINTAINED, 3-COMP SINK FAUCET IN POOR REPAIR, LOOSE KNOBS, UNABLE TO SHUT OFF COLD WATER, INSTRUCTED TO REPAIR FAUCET AND MAINTAIN. SERIOUS CITATION ISSUED 7-38-030. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MISSING GROUT FROM KITCHEN FLOOR TILES, INSTRUCTED TO REPAIR. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: EXPOSED INSULATION AROUND PIPES IN REAR PREP/DISH WASHING AREA. INSTRUCTED TO REPAIR. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: KEEPING LIVE POTTERY PLANTS IN REAR KITCHEN, INSTURCTED TO REMOVE. | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: ICE CONTAINERS STORED ON FLOOR, INSTRUCTED TO STORE OFF FLOOR.",41.886567370886944,-87.62438467059714,"(41.886567370886944, -87.62438467059714)"
1324747,COSI,COSI,40,Restaurant,Risk 1 (High),233 N MICHIGAN AVE,CHICAGO,IL,60601,10/24/2013,Short Form Complaint,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: FOUND 3 LIVE ROACHES ON THE WALL UNDER 3 COMPARTMENT SINK AND 10 LIVE ROACHES ON THE WALL AND FLOOR AROUND THE POP SYRUP RACK AND ICE MACHINE.INSTRUCTED MANAGER TO REMOVE ROACHES AND SANITIZE AREA AND CALL PEST CONTROL FOR SERVICE .SERIOUS CITATION ISSUED #7-38-020. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN AND SANITIZE BREAD PREP MAKING AREA AND PREP TABLE. 
 | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST RECAULK TOP OF 3-COMP SINK WHERE TOP OF SINK MEETS WALL. FOUND CAULKING EXTREMELY GRIMMY AND BLACK IN COLOR. 
 | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST TIGHTEN LOOSE FAUCET HANDLE AT LARGE MIDDLE FAUCET AT THE 3COMP SINK.",41.886567370886944,-87.62438467059714,"(41.886567370886944, -87.62438467059714)"
679365,COSI,COSI,40,Restaurant,Risk 1 (High),233 N MICHIGAN AVE,CHICAGO,IL,60601,03/14/2012,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: FOUND 50 SMALL LIVE FLIES IN THE REAR AROUND THE ICE MACHINE, SINKS AND STORAGE RACKS AND 5 IN FRONT PREP AREA. INSTRUCTED TO ELIMINATE ALL SMALL FLIES AND CLEAN AFFECTED AREAS. RECOMMENDED CONTACTING PEST CONTROL TO ASSIST WITH PROCESS. CITATION #78204-14 ISSUED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST REPLACE ALL CUTTING BOARDS IN FRONT AND REAR PREP AREA WIT DEEP, DARK GROOVES. MUST RECAULK AROUND REAR EXPOSED HANDSINK BY WALK-IN COOLER. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST DETAIL CLEAN AND MAINTAIN STORAGE RACKS/SHELVES IN REAR AND CABINETS THROUGH OUT. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST REGROUT FLOORS BY ICE MACHINE IN REAR AND DETAIL CLEAN FLOORS UNDER/AROUND ALL HEAVY EQUIPMENTS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST DETAIL CLEAN WALLS/CEILING TILES THROUGHOUT. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST SEAL OPENING IN WALL ABOVE EXPOSED HAND SINK AND AT PIPES UNDER SAME SINK IN REAR PREP (BY WALK-IN COOLER.) | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPLACE BROKEN/MISSING WALLBASE TILES BY DOOR IN PREP/REAR AREAS. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST PROVIDE A SHIELD TO THE REAR LIGHT IN WALK-IN COOLER. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST FIX LEAK AT HOT WATER KNOB ON 3-COMP. SINK | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: ALL WASH CLOTHS NOT IN USE SHOULD BE STORED IN A BUCKET OF SOLUTION.",41.886567370886944,-87.62438467059714,"(41.886567370886944, -87.62438467059714)"
1982521,XANDO COFFEE & BAR / COSI SANDWICH BAR,XANDO COFFEE & BAR / COSI SANDWICH BAR,62,Restaurant,Risk 1 (High),230 W WASHINGTON ST,CHICAGO,IL,60606,02/02/2017,Canvass,Fail,"3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: Found potentially hazardous foods being improperly reheated in warmer in kitchen area. Facility using water temperature of 128.5F to reheat vacuum packaged soups and eggs in a warming unit. Foods have been in warmers for approximately 2 hours. Advised may only use approved cooking equipment/ approved method to rapidly reheat potentially hazardous foods to 165F according to the City of Chicago Municipal code. Operator voluntarily discarded a total of 48lbs of chicken soup, and 2lbs of eggs totaling a value of $70.11. Critical violation 7-38-005(a). | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: Found doors not rodent proof. Found east entry door with 1/2 - 1 inch gaps along bottom of door. Found south east exterior door with 1-2 gaps in middle of double doors. Found south west exterior door with 1-2 inch gaps along bottom and in between 2 doors. Advised all exterior doors must be tight fitting to prevent pest entry. Must repair. Serious violation 7-38-020. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Found hole in wall under 3 compartment sink. Must repair to prevent pest entry. Must maintain same.  | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: Found missing ceiling tile in employee break room in kitchen. Must repair/replace to prevent pest entry. Must maintain same.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Found rear 1 compartment prep sink with continuous leak from faucet. Must repair and maintain same.",41.88331785985083,-87.63476909461744,"(41.88331785985083, -87.63476909461744)"
