Date,Mean Temperature,Max Temperature,Min Temperature,Heating Degree Days, Dew Point, Average Humidity, Max Humidity, Minimum Humidity, Precipitation, Sea Level Pressure, Average Wind Speed, Maximum Wind Speed, Visibility, Events
2001-01-01,14,23,6,50,10,81,92,65,0,30.45,N/A,13,10,
2001-01-02,12,18,6,53,6,83,92,71,0,30.57,N/A,15,10,
2001-01-03,18,28,8,47,17,88,95,73,0,30.14,N/A,17,5,Snow
2001-01-04,24,30,19,42,21,88,96,81,0,29.96,N/A,20,7,
2001-01-05,30,36,21,36,24,73,82,64,0.02,29.68,N/A,21,10,
2001-01-06,26,33,19,39,19,77,96,59,0,29.74,N/A,16,10,
2001-01-07,28,34,21,38,23,78,89,64,0,29.86,N/A,16,10,
2001-01-08,20,26,14,44,13,74,84,63,0,30.11,N/A,14,10,Snow
2001-01-09,16,23,10,48,11,78,87,71,0,30.28,N/A,17,10,
2001-01-10,26,34,19,38,19,74,81,61,0,30.15,N/A,14,10,
2001-01-11,28,39,18,36,24,78,92,65,0,30.11,N/A,9,8,
2001-01-12,31,37,25,34,29,89,96,78,0,30.2,N/A,8,6,
2001-01-13,34,35,33,31,31,92,96,85,0,30.18,N/A,16,4,
2001-01-14,34,36,32,31,34,97,100,81,0,29.89,N/A,13,2,Rain Snow
2001-01-15,32,35,30,32,32,93,100,81,0,29.92,N/A,17,4,Rain Snow
2001-01-16,28,30,26,37,25,88,96,82,0,30.2,N/A,15,6,Rain Snow
2001-01-17,22,26,19,42,19,84,91,71,0,30.27,N/A,12,7,
2001-01-18,24,30,19,40,21,82,92,72,0,30.02,N/A,15,7,
2001-01-19,22,27,17,43,18,80,88,72,0,30.14,N/A,22,8,Snow
2001-01-20,18,24,10,47,10,72,81,57,0,30.26,N/A,12,10,Snow
2001-01-21,18,25,10,48,11,75,88,60,0,30.33,N/A,9,9,
2001-01-22,18,28,7,48,15,80,92,63,0,30.36,N/A,10,6,
2001-01-23,28,34,21,38,23,80,92,70,0,30.15,N/A,12,6,
2001-01-24,22,27,17,43,17,77,88,66,0,30.2,N/A,18,9,Snow
2001-01-25,20,25,14,46,11,70,81,57,0,30.39,N/A,12,10,
2001-01-26,26,30,21,40,24,86,93,69,0.02,29.85,N/A,20,4,Snow
2001-01-27,20,26,15,44,12,72,78,66,0,30.26,N/A,21,10,
2001-01-28,21,28,14,44,17,80,93,65,0,30.27,N/A,9,8,Rain Snow
2001-01-29,35,42,28,30,33,92,100,81,0.3,29.76,N/A,20,5,Rain
2001-01-30,34,37,32,30,34,95,100,92,0.14,29.38,N/A,13,4,Rain Snow
2001-01-31,31,34,27,34,29,87,96,79,0,29.78,N/A,17,6,
2001-02-01,18,30,3,47,16,77,92,57,0,30.11,N/A,17,8,Snow
2001-02-02,6,12,0,59,-2,70,76,61,0,30.3,N/A,18,10,
2001-02-03,19,30,10,46,19,82,96,69,0,30.08,N/A,13,8,Snow
2001-02-04,30,34,27,34,29,89,100,81,0.03,29.95,N/A,12,7,Snow
2001-02-05,29,32,26,36,25,86,96,78,0,29.96,N/A,14,6,Snow
2001-02-06,29,35,19,36,26,83,96,61,0,30.01,N/A,10,6,
2001-02-07,26,35,17,39,24,90,100,72,0,30.26,N/A,17,4,Rain Snow
2001-02-08,42,53,33,22,43,97,100,89,0.47,29.94,N/A,17,2,Fog Rain Thunderstorm
2001-02-09,36,54,19,28,34,91,100,74,0.11,29.7,N/A,28,4,Rain Snow
2001-02-10,16,19,12,50,7,70,77,59,0,30.46,N/A,14,10,
2001-02-11,18,27,10,46,12,72,81,66,0,30.56,N/A,16,10,
2001-02-12,29,37,21,36,23,74,85,59,0,30.29,N/A,14,10,
2001-02-13,34,37,32,30,30,84,89,76,0,30.21,N/A,9,6,Rain
2001-02-14,32,36,28,33,32,94,100,80,0,29.96,N/A,16,3,Fog Rain Snow
2001-02-15,30,32,27,36,24,79,85,73,0,30.07,N/A,10,10,
2001-02-16,23,30,14,42,18,72,86,55,0,30.19,N/A,20,9,
2001-02-17,12,18,6,53,0,59,70,48,0,30.56,N/A,20,10,
2001-02-18,18,28,7,48,6,59,76,39,0,30.42,N/A,16,10,
2001-02-19,35,42,28,30,26,70,85,62,0,29.99,N/A,20,10,
2001-02-20,27,35,18,38,17,61,82,42,0,30.21,N/A,18,8,
2001-02-21,14,19,10,50,-1,49,71,30,0,30.51,N/A,14,10,
2001-02-22,23,27,19,42,18,81,93,71,0.01,30.13,N/A,21,8,Snow
2001-02-23,23,30,18,42,15,68,81,45,0,30.31,N/A,16,9,Snow
