Inspection ID,DBA Name,AKA Name,License #,Address,City,State,Zip,Inspection Date,Inspection Type,Results
2159876,"MONTESSORI ACADEMY OF CHICAGO I, LLC","MONTESSORI ACADEMY OF CHICAGO I, LLC",2215936,1335 W RANDOLPH ,CHICAGO,IL,60607,04/12/2018,License,Pass
2159874,"MONTESSORI ACADEMY OF CHICAGO I, LLC","MONTESSORI ACADEMY OF CHICAGO I, LLC",2215935,1335 W RANDOLPH ,CHICAGO,IL,60607,04/12/2018,License,Pass
2159949,THE DALCY,THE DALCY,2583415,302 N GREEN ,CHICAGO,IL,60607,04/12/2018,License,Pass
2159948,THE DALCY,THE DALCY,2583413,302 N GREEN ,CHICAGO,IL,60607,04/12/2018,License,Pass
2159945,THE DALCY,THE DALCY,2583412,302 N GREEN ,CHICAGO,IL,60607,04/12/2018,License,Pass
2159947,THE GAGE,THE GAGE,1679829,24 S MICHIGAN ,CHICAGO,IL,60603,04/12/2018,Recent Inspection,Pass
2159769,HOST INTERNATIONAL INC.,FRESH ATTRACTIONS (T3  H6),2103991,11601 W TOUHY ,CHICAGO,IL,60606,04/10/2018,Canvass,Pass
2159756,"MONTESSORI ACADEMY OF CHICAGO, 1, LLC","MONTESSORI ACADEMY OF CHICAGO, 1, LLC",2464436,1333-1343 W RANDOLPH ,CHICAGO,IL,60607,04/10/2018,License,Pass
2159647,CHICAGO KERNEL,CHICAGO KERNEL,2589584,100 W RANDOLPH ,CHICAGO,IL,60601,04/06/2018,License,Pass
2159713,"NEA AGORA PACKING COMPANY, INC.","NEA AGORA PACKING COMPANY, INC.",2589440,1056 W TAYLOR ,CHICAGO,IL,60607,04/10/2018,License,Fail
2145938,ALOHA POKE MADISON,ALOHA POKE MADISON,2583429,303 W MADISON ,CHICAGO,IL,60606,03/06/2018,License,Pass
2159612,MCDONALD'S,MCDONALD'S,2583925,1040 W RANDOLPH ,CHICAGO,IL,60607,04/06/2018,License,Pass
2159590,UNION LEAGUE CLUB,UNION LEAGUE CLUB,2570241,65 W JACKSON ,CHICAGO,IL,60604,04/05/2018,License,Pass
2159585,UNION LEAGUE CLUB,UNION LEAGUE CLUB,2570243,65 W JACKSON ,CHICAGO,IL,60604,04/05/2018,License,Pass
2159582,UNION LEAGUE CLUB,UNION LEAGUE CLUB,2570240,65 W JACKSON ,CHICAGO,IL,60604,04/05/2018,License Re-Inspection,Pass
2145502,MARRIOTT CHICAGO MEDICAL DISTRICT,MARRIOTT CHICAGO MEDICAL DISTRICT,2363903,625 S ASHLAND ,CHICAGO,IL,60607,02/26/2018,Canvass,Fail
2159522,HERO COFFEE BAR,HERO COFFEE,2583755,222 N LA SALLE ,CHICAGO,IL,60601,04/05/2018,License,Pass
2145546,WHICH WICH,WHICH WICH,2068951,108 N ,CHICAGO,IL,60602,02/26/2018,Canvass,Pass
2145544,CORNER BAKERY CAFE,CORNER BAKERY CAFE,1649372,444 W JACKSON ,CHICAGO,IL,60606,02/26/2018,Canvass,Pass
2159475,BIEN ME SABE VENEZUELAN AREPA BAR,BIEN ME SABE VENZUELAN,2583612,29 E ADAMS ,CHICAGO,IL,60603,04/04/2018,License,Pass
2159452,BUFFALO WILD WINGS,BUFFALO WILD WINGS,2359796,513 W TAYLOR ,CHICAGO,IL,60607,04/03/2018,Canvass,Fail
2159379,POTBELLY SANDWICH WORKS LLC,POTBELLY SANDWICH WORKS LLC,1353702,55 E JACKSON ,CHICAGO,IL,60604,04/03/2018,Short Form Complaint,Fail
2159217,UNION LEAGUE CLUB,UNION LEAGUE CLUB,2570240,65 W JACKSON ,CHICAGO,IL,60604,03/30/2018,License Re-Inspection,Fail
2145425,"PIEROGI HEAVEN, INC.",PIEROGI HEAVEN,2022158,169 N WELLS ,CHICAGO,IL,60606,02/23/2018,Canvass,Pass
2151147,M2 Cafe,M2 Cafe,2588863,850 W JACKSON ,CHICAGO,IL,60607,03/29/2018,License,Pass
2151136,MILA PLAZA,LITTLE TOASTED,2405178,300 S RIVERSIDE ,CHICAGO,IL,60606,03/29/2018,Canvass,Pass w/ Conditions
2151051,BEATRIX MARKET,BEATRIX MARKET,2574983,23 E JACKSON ,CHICAGO,IL,60604,03/27/2018,License Re-Inspection,Pass
2151019,BEATRIX MARKET,BEATRIX MARKET,2574982,23 E JACKSON ,CHICAGO,IL,60604,03/27/2018,License Re-Inspection,Pass
2151011,SIAM  RICE THAI CUISINE,SIAM  RICE THAI CUISINE,1403374,117 N WELLS ,CHICAGO,IL,60606,03/26/2018,Canvass,Fail
2150999,FARMER'S FRIDGE,FARMER'S FRIDGE,2477266,125 S CLARK ,CHICAGO,IL,60603,03/26/2018,Complaint,Pass w/ Conditions
2150992,JERSEY MIKE'S SUBS,JERSEY MIKE'S SUBS,2404389,120 N WELLS ,CHICAGO,IL,60606,03/26/2018,Suspected Food Poisoning Re-inspection,Pass
2150942,JERSEY MIKE'S SUBS,JERSEY MIKE'S SUBS,2404389,120 N WELLS ,CHICAGO,IL,60606,03/23/2018,Suspected Food Poisoning,Fail
2150866,INFUSE HOSPITALITY,TOWER HOUSE,2583809,233 S WACKER ,CHICAGO,IL,60606,03/22/2018,License,Pass
2135620,CRYSTAL BALLROOM/PLAZA BALLROOM,CRYSTAL BALLROOM/PLAZA BALLROOM,1925,151 E WACKER ,CHICAGO,IL,60601,01/18/2018,Canvass,Pass
2150846,INFUSE HOSPITALITY,TOWER HOUSE,2583808,233 S WACKER ,CHICAGO,IL,60606,03/22/2018,License,Pass
2150825,BEATRIX MARKET,BEATRIX MARKET,2574983,23 E JACKSON ,CHICAGO,IL,60604,03/22/2018,License,Fail
2150817,BEATRIX MARKET,BEATRIX MARKET,2574982,23 E JACKSON ,CHICAGO,IL,60604,03/22/2018,License,Fail
2150800,DOLLOP COFFEE,DOLLOP,2560192,801 S FINANCIAL ,CHICAGO,IL,60605,03/22/2018,License,Fail
2150799,DOLLOP COFFEE,DOLLOP,2560191,801 S FINANCIAL ,CHICAGO,IL,60605,03/22/2018,License,Fail
2150707,ZAKI CHICAGO STYLE GRILLE,ZAKI CHICAGO STYLE GRILLE,2380158,610 W ROOSEVELT RD ,CHICAGO,IL,60607,03/20/2018,Short Form Complaint,Pass w/ Conditions
2150704,STARBUCKS COFFEE #2226,STARBUCKS COFFEE #2226,23059,66 W WASHINGTON ,CHICAGO,IL,60602,03/20/2018,Canvass,Pass
2150677,MILLER'S PUB & RESTAURANT,MILLER'S PUB & RESTAURANT,2583464,134 S WABASH ,CHICAGO,IL,60603,03/20/2018,License,Pass
2150673,MILLER'S PUB & RESTAURANT,MILLER'S PUB & RESTAURANT,2583463,134 S WABASH ,CHICAGO,IL,60603,03/20/2018,License,Pass
2146109,65 EXPRESS,65 EXPRESS,2583667,331 S FRANKLIN ,CHICAGO,IL,60606,03/08/2018,License,Fail
2150547,TAQUERIA LA LAGARTIJA,TAQUERIA LA LAGARTIJA,2033170,132 S ASHLAND ,CHICAGO,IL,60607,03/16/2018,Canvass Re-Inspection,Pass
2150417,65 EXPRESS,65 EXPRESS,2583667,331 S FRANKLIN ,CHICAGO,IL,60606,03/15/2018,License Re-Inspection,Pass
2150401,TAQUERIA LA LAGARTIJA,TAQUERIA LA LAGARTIJA,2033170,132 S ASHLAND ,CHICAGO,IL,60607,03/14/2018,Canvass,Fail
2150321,"THE VEGGIE GRILL, INC",THE VEGGIE GRILL,2560625,204 N WELLS ,CHICAGO,IL,60606,03/14/2018,License,Pass
2150305,UNION LEAGUE CLUB,UNION LEAGUE CLUB,2570240,65 W JACKSON ,CHICAGO,IL,60604,03/13/2018,License,Fail
2150291,UNION LEAGUE CLUB,WIGWAM ROOM,43329,65 W JACKSON ,CHICAGO,IL,60604,03/13/2018,Canvass,Pass w/ Conditions
2150286,MAIN DINING,MAIN DINING,43331,65 W JACKSON ,CHICAGO,IL,60604,03/13/2018,Canvass,Pass w/ Conditions
2146043,BILLYS GOAT'S,BILLY GOAT TAVERN & GRILL,50158,1535 W MADISON ,CHICAGO,IL,60607,03/08/2018,Canvass,Fail
2145996,MINIGROW BY HONEYGROW,MINIGROW,2569565,28 S WABASH ,CHICAGO,IL,60603,03/07/2018,License,Pass
2145629,7-ELEVEN #33705B,7-ELEVEN #33705B,2289809,216 W JACKSON ,CHICAGO,IL,60606,02/27/2018,Canvass,Pass
2145836,7 LIONS BAR AND CELLAR,7 LIONS BAR AND CELLAR,2328544,130 S MICHIGAN ,CHICAGO,IL,60603,03/02/2018,Complaint,Fail
2145812,MORGAN STREET CAFE,MORGAN STREET CAFE,2583315,111 S MORGAN ,CHICAGO,IL,60607,03/02/2018,License,Pass
2145722,MARRIOTT CHICAGO MEDICAL DISTRICT,MARRIOTT CHICAGO MEDICAL DISTRICT,2363903,625 S ASHLAND ,CHICAGO,IL,60607,03/01/2018,Canvass Re-Inspection,Fail
2145713,SUBWAY RESTAURANT,SUBWAY,2418270,1252 S HAL,CHICAGO,IL,60607,03/01/2018,Canvass Re-Inspection,Pass
2145700,PINKYS RESTAURANT,PINKYS RESTAURANT,1873531,100 W RANDOLPH ,CHICAGO,IL,60601,02/28/2018,Complaint,Pass
2145660,POTBELLY SANDWICH WORKS LLC,POTBELLY SANDWICH WORKS LLC,1543419,150 S WACKER ,CHICAGO,IL,60606,02/28/2018,Canvass,Pass
2145644,VOLCANO SUSHI CAFE,VOLCANO SUSHI CAFE,2373791,1062 W TAYLOR ,CHICAGO,IL,60607,02/27/2018,Short Form Complaint,Pass
2145639,NOODLES & COMPANY,NOODLES & COMPANY,1873401,180 N MICHIGAN ,CHICAGO,IL,60601,02/27/2018,Canvass,Pass
2145637,HANA RESTAURANT,HANA RESTAURANT,2469898,1311 W TAYLOR ,CHICAGO,IL,60607,02/27/2018,Canvass,Pass
2145633,JACKSON TAVERN,JACKSON TAVERN,2397406,216 W JACKSON ,CHICAGO,IL,60606,02/27/2018,Canvass,Pass
2145612,SWISSOTEL - CONCOURSE LEVEL,GENEVA,1964829,323 E WACKER ,CHICAGO,IL,60601,02/27/2018,Canvass,Pass
2145611,PARLOR PIZZA BAR,PARLOR PIZZA BAR,2412215,100-110 N GREEN ,CHICAGO,IL,60607,02/27/2018,Canvass,Fail
2105123,SPERTUS INSTITUTE FOR JEWISH LEARNING AND LEADERSH,SPERTUS COLLEGE,2549799,610-616 S MICHIGAN ,CHICAGO,IL,60605,11/21/2017,License,Pass
2145603,SWISSOTEL CHICAGO - HOTEL,EVENT KITCHEN,1447923,323 E WACKER ,CHICAGO,IL,60601,02/27/2018,Canvass,Pass
2145600,JIMMY JOHN'S,JIMMY JOHN'S,2411778,247 S ,CHICAGO,IL,60604,02/27/2018,Canvass,Pass
2145044,POTBELLY SANDWICH WORKS,POTBELLY SANDWICH WORKS,56213,303 W MADISON ,CHICAGO,IL,60606,02/16/2018,Canvass,Pass
2145590,DIRKSEN US COURTHOUSE,DIRKSEN US COURTHOUSE,2373957,219 S DEARBORN ,CHICAGO,IL,60604,02/27/2018,Canvass,Pass
2145574,SUBWAY RESTAURANT,SUBWAY,2418270,1252 S HAL,CHICAGO,IL,60607,02/27/2018,Canvass Re-Inspection,Fail
2145567,HARRYS FOOD INC,HARRYS FOOD INC,2523275,336 S DEARBORN ,CHICAGO,IL,60604,02/27/2018,Canvass,Pass
2145555,POPEYES LOUISIANA KITCHEN,POPEYES CHICKEN,2256369,1251 S HAL,CHICAGO,IL,60607,02/26/2018,Canvass,Pass
2145543,LALO'S MEXICAN RESTAURANT,LALO'S MEXICAN RESTAURANT,1520427,733 W MAXWELL ,CHICAGO,IL,60607,02/26/2018,Canvass,Fail
2145536,ROBINSON'S #1 RIB,ROBINSON'S #1 RIB,32317,225 S CANAL ,CHICAGO,IL,60606,02/26/2018,Canvass,Pass w/ Conditions
2145529,POKE POKE,POKE POKE,2583178,105 W MADISON ,CHICAGO,IL,60602,02/26/2018,License Re-Inspection,Pass
2145520,GREEN APPLE PHOEVER,GREEN APPLE PHOEVER,2437653,105 W MADISON ,CHICAGO,IL,60602,02/26/2018,Canvass Re-Inspection,Pass
2145519,"LABAMBA JALISCO, INC.",LABAMBA,2488367,105 W MADISON ,CHICAGO,IL,60602,02/26/2018,Canvass Re-Inspection,Pass
2145515,PRET ADAMS STREET INC.,PRET A MANGER,2529837,225 S CANAL ,CHICAGO,IL,60606,02/26/2018,Canvass,Pass
2145506,POTBELLY SANDWICH WORKS LLC,POTBELLY SANDWICH WORKS LLC,68701,190 N ,CHICAGO,IL,60601,02/26/2018,Canvass,Pass
2145491,HAMPTON INN CHICAGO DOWNTOWN,HAMPTON INN CHICAGO DOWNTOWN,2390848,68 E WACKER ,CHICAGO,IL,60601,02/26/2018,Canvass,Pass
2145498,JUST SALAD,JUST SALAD,2496204,10 S RIVERSIDE ,CHICAGO,IL,60606,02/26/2018,Canvass,Pass
2145467,"LABAMBA JALISCO, INC.",LABAMBA,2488367,105 W MADISON ,CHICAGO,IL,60602,02/23/2018,Canvass,Fail
2145468,GRK GREEK KITCHEN,GRK GREEK KITCHEN,2341133,400 S WELLS ,CHICAGO,IL,60607,02/23/2018,Canvass,Pass
2145470,GREEN APPLE PHOEVER,GREEN APPLE PHOEVER,2437653,105 W MADISON ,CHICAGO,IL,60602,02/23/2018,Canvass,Fail
2145459,ROTI MODERN MEDITERRANEAN,ROTI MODERN MEDITERRANEAN,2550794,55 E JACKSON ,CHICAGO,IL,60604,02/23/2018,Canvass,Pass
2145455,POKE POKE,POKE POKE,2583178,105 W MADISON ,CHICAGO,IL,60602,02/23/2018,License,Fail
2145450,SUBWAY #3333,SUBWAY #3333,1492229,62 E JACKSON ,CHICAGO,IL,60604,02/23/2018,Canvass,Pass
2145427,"COMPASS GROUP USA, INC",CAFE 41,2134172,300 E RANDOLPH ,CHICAGO,IL,60601,02/23/2018,Canvass,Pass
2145436,TUTTO ITALIANO,TUTTO ITALIANO,34465,501 S WELLS ,CHICAGO,IL,60607,02/23/2018,Canvass Re-Inspection,Pass
2145423,"COMPASS GROUP USA, INC",CAFE 300,2074568,300 E RANDOLPH ,CHICAGO,IL,60601,02/23/2018,Canvass,Pass
2145413,HERO COFFEE BAR,HERO COFFEE BAR,2560363,1100 W MADISON ,CHICAGO,IL,60607,02/23/2018,License Re-Inspection,Pass
2145412,PROTEIN BAR,PROTEIN BAR,2079750,221 W WASHINGTON ,CHICAGO,IL,60606,02/23/2018,Canvass,Pass
2145402,HASHBROWNS,HASHBROWNS,1621661,731 W MAXWELL ,CHICAGO,IL,60607,02/23/2018,Canvass,Pass
