License #,DBA Name,Address,Rating Average Yelp,#Fail,#Pass,#PassW/Conditions
2,COSI,230 W MONROE ST ,3.625,1,10,4
62,XANDO COFFEE & BAR / COSI SANDWICH BAR,230 W WASHINGTON ST ,3.4705882352941178,2,11,2
644,MAXIM'S RESTAURANT INC,20 N CLARK ST ,2.5,9,14,3
1168,BEEF AND BRANDY RESTAURANT,127 S STATE ST ,3.25,3,9,5
1242,PALM RESTAURANT,323 E WACKER DR ,3.333333333333333,3,8,0
1491,HALF SOUR,755 S CLARK ST ,3.3666666666666667,1,8,1
1945,HYATT REGENCY CHICAGO-J'S DELI,151 E WACKER DR ,3.5405405405405403,1,3,0
6781,WENDY'S OLD FASHIONED HAMBURGERS,6 S CLARK ST ,2.6153846153846154,2,10,1
9211,COLUMBIA YACHT CLUB,111 N LAKE SHORE DR ,4.5,1,6,0
11172,MAX'S TAKE OUT,20 E ADAMS ST ,4.6,8,20,2
14622,SOUTH LOOP CLUB INC,701 S STATE ST ,2.575757575757576,0,11,1
15419,SBARRO,100 W RANDOLPH ST ,4.0,3,13,2
17178,KASEY'S TAVERN,701 S DEARBORN ST ,3.896551724137931,0,5,1
17432,HARRY'S SANDWICH SHOP,336 S DEARBORN ST ,3.6666666666666665,1,8,0
18237,CERES CAFE,141 W JACKSON BLVD ,3.8846153846153846,0,11,1
18241,CELLARS MARKET,141 W JACKSON BLVD ,4.0,2,11,2
18305,SHALOM DELI INC,7 N WELLS ST ,3.6666666666666665,0,2,0
18659,WALGREENS #1332,300 N MICHIGAN AVE ,1.0,1,3,0
18717,WALGREENS #04349,201 W MADISON ST ,3.25,0,1,0
18735,WALGREENS BOND DRUG COMPANY OF ILLINOIS #5387,79 W MONROE ST ,4.166666666666667,0,2,0
21615,Cafe 200 @ Aon Center Chicago,200 E RANDOLPH ST ,4.0,0,1,0
22140,CHEN'S CHINESE EXPRESS,201 N CLARK ST ,3.333333333333333,0,2,0
22706,PEARL TAVERN,180 N WACKER DR ,2.75,3,6,1
22746,ORIENTAL EXPRESS,233 E WACKER DR ,2.75,0,4,0
23011,STARBUCKS COFFEE #221,400 W MADISON ST ,5.0,0,4,1
23013,STARBUCKS COFFEE #209,225 N MICHIGAN AVE ,2.0,1,8,0
23021,STARBUCKS COFFEE #213,111 W WASHINGTON ST ,2.0,2,12,0
23027,STARBUCKS COFFEE #212,105 W ADAMS ST ,4.4,2,7,0
23047,STARBUCKS COFFEE #289,10 S RIVERSIDE PLZ ,3.0,1,7,0
23065,STARBUCKS COFFEE #2247,55 E JACKSON BLVD ,3.0,1,7,0
23073,STARBUCKS COFFEE #238,70 W MADISON ST ,4.5,2,5,1
23079,STARBUCKS COFFEE #282,555 S DEARBORN ST ,4.666666666666667,1,4,4
23085,STARBUCKS COFFEE #2229,209 W JACKSON BLVD ,3.333333333333333,0,6,0
23087,STARBUCKS COFFEE #2230,68 E MADISON ST ,1.75,1,2,2
23114,STARBUCKS COFFEE #2375,161 N CLARK ST ,5.0,0,6,0
23126,STARBUCKS COFFEE #2410,130 S CANAL ST ,5.0,1,7,2
25193,ARBY'S ROAST BEEF,195 N DEARBORN ST ,3.0,1,0,0
25194,SBARRO RESTAURANT,195 N DEARBORN ST ,3.0,1,0,0
27947,THE STANDARD CLUB,320 S PLYMOUTH CT ,3.25,4,6,2
29177,RIVERS,30 S WACKER DR ,3.44,2,7,8
30085,HAROLD'S CHICKEN SHACK,636 S WABASH AVE ,3.8181818181818175,1,1,0
30142,GINO'S EAST OF CHICAGO,521 S DEARBORN ST ,2.923076923076924,0,11,0
30724,STANDING ROOM ONLY CHICAGO,610 S DEARBORN ST ,3.695652173913044,0,6,0
31399,SILK ROAD JACKSON CORPORATION,216 W JACKSON BLVD ,3.571428571428572,1,2,0
31661,SNUGGERY AT UNION STATION INC,225 S CANAL ST ,3.261904761904762,0,1,1
32318,GOLD COAST DOGS,225 S CANAL ST ,3.333333333333333,0,9,5
32361,"HONG'S UNION STATION, INC",225 S CANAL ST ,3.261904761904762,0,5,1
32843,RUSSIAN TEA TIME,77 E ADAMS ST ,3.761904761904762,2,9,3
33192,FAST FOO'S,28 E JACKSON BLVD ,2.4,2,3,1
34514,ALONTI DELI,300 S RIVERSIDE PLZ ,3.0,3,8,4
43323,UNION LEAGUE CLUB OF CHICAGO,65 W JACKSON BLVD ,3.8461538461538463,1,9,0
43329,UNION LEAGUE CLUB,65 W JACKSON BLVD ,3.8461538461538463,0,8,2
44152,BON APPETIT AT AT&T,227 W MONROE ST ,4.0,0,2,0
44203,CHICAGO YACHT CLUB,400 E MONROE DR ,3.75,2,6,2
46438,THE TOWER CLUB,20 N WACKER DR ,5.0,1,2,0
46734,SILK ROAD LASALLE,19 S LA SALLE ST ,3.3846153846153846,1,11,2
46781,SOPRAFFINA MARKETCAFFE,222 W ADAMS ST ,3.2857142857142856,2,11,4
49503,PITTSFIELD CAFE,55 E WASHINGTON ST ,4.0,1,9,1
52356,PITA EXPRESS,100 W RANDOLPH ST ,3.0625,6,10,1
52555,CARIBOU COFFEE COMPANY,55 W MONROE ST ,3.333333333333333,1,3,1
52562,CARIBOU COFFEE CO.INC.,10 S LA SALLE ST ,4.0,0,2,1
54103,CARDOZO'S PUB,170 W WASHINGTON ST ,3.333333333333333,1,10,1
56213,POTBELLY SANDWICH WORKS,303 W MADISON ST ,2.0,0,22,0
57932,TESORI,65 E ADAMS ST ,3.0,2,9,3
59549,FRENCH PASTRY SCHOOL INC,226 W JACKSON BLVD ,3.5,2,9,0
59581,BRIAN'S JUICE BAR & DELI.,80 E LAKE ST ,3.2307692307692317,1,3,0
61116,POPEYES/GOLD COAST DOGS,159 N WABASH AVE ,3.0526315789473686,3,15,1
61206,MACY'S,111 N STATE ST ,2.773109243697479,1,9,1
61207,MACY'S,111 N STATE ST ,2.773109243697479,0,11,1
61208,MACY'S,111 N STATE ST ,2.773109243697479,5,11,2
61209,MACY'S,111 N STATE ST ,2.773109243697479,0,9,0
61210,MACY'S,111 N STATE ST ,2.773109243697479,4,18,0
61449,HOULIHAN'S,111 E WACKER DR ,2.53125,3,7,1
64185,SIXTY FIVE CHINESE RESTAURANT,201 W MADISON ST ,3.272727272727273,0,11,1
69186,KCG OF CHICAGO UNION STATION,225 S CANAL ST ,3.261904761904762,4,15,0
70403,WABASH TAP,1233 S WABASH AVE ,3.0882352941176467,2,8,0
73813,GOODWIN'S,175 N FRANKLIN ST ,4.169014084507042,0,2,0
75484,CAVANAUGH'S BAR & RESTAURANT,53 W JACKSON BLVD ,3.4,0,9,1
76264,HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST ,4.666666666666667,4,4,4
1069817,PETTERINO'S,150 N DEARBORN ST ,3.5675675675675675,1,11,0
1091918,BORDERS CAFE ESPRESSO,150 N STATE ST ,3.1428571428571432,0,1,0
1122922,WAREHOUSE LIQUORS,634 S WABASH AVE ,4.4,0,1,0
1145462,STARBUCKS COFFEE #2545,25 E WASHINGTON ST ,3.6666666666666665,0,6,0
1196321,7-ELEVEN 33139,174 N MICHIGAN AVE ,4.0,0,4,1
1226438,TERRACE ON CLARK,77 W WACKER DR ,3.0,0,3,2
1228523,Opera,1301 S WABASH AVE ,3.435643564356436,0,1,1
1245151,STARBUCKS COFFEE #2639,31 E ROOSEVELT RD ,3.0,0,6,1
1331003,Madison Street Cafe,70 W MADISON ST ,3.333333333333333,2,6,1
1332969,Yang,28 E ROOSEVELT RD ,2.333333333333333,2,6,0
1352059,WALGREENS # 07054,15 W WASHINGTON ST ,3.4,0,3,0
1353702,POTBELLY SANDWICH WORKS LLC,55 E JACKSON BLVD ,3.4,5,13,0
1354323,SPORTSERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,3.3947368421052637,49,6125,49
1356630,DELMONICO,111 W WASHINGTON ST ,3.6666666666666665,4,11,4
1384193,EAT & DRINK,212 W RANDOLPH ST ,3.2222222222222223,0,4,0
1423363,SUBWAY #25917,122 S MICHIGAN AVE ,3.0,0,3,1
1425791,STARBUCKS #2756,311 S WACKER DR ,3.0,0,6,0
