License #,Rating Average Yelp,#Fail,#Pass,#PassW/Conditions
2,3.625,1,10,4
62,3.4705882352941178,2,11,2
644,2.5,9,14,3
1168,3.25,3,9,5
1242,3.333333333333333,3,8,0
1491,3.3666666666666667,1,8,1
1945,3.5405405405405403,1,3,0
6781,2.6153846153846154,2,10,1
9211,4.5,1,6,0
11172,4.6,8,20,2
14622,2.575757575757576,0,11,1
15419,4.0,3,13,2
17178,3.896551724137931,0,5,1
17432,3.6666666666666665,1,8,0
18237,3.8846153846153846,0,11,1
18241,4.0,2,11,2
18305,3.6666666666666665,0,2,0
18659,1.0,1,3,0
18717,3.25,0,1,0
18735,4.166666666666667,0,2,0
21615,4.0,0,1,0
22140,3.333333333333333,0,2,0
22706,2.75,3,6,1
22746,2.75,0,4,0
23011,5.0,0,4,1
23013,2.0,1,8,0
23021,2.0,2,12,0
23027,4.4,2,7,0
23047,3.0,1,7,0
23065,3.0,1,7,0
23073,4.5,2,5,1
23079,4.666666666666667,1,4,4
23085,3.333333333333333,0,6,0
23087,1.75,1,2,2
23114,5.0,0,6,0
23126,5.0,1,7,2
25193,3.0,1,0,0
25194,3.0,1,0,0
27947,3.25,4,6,2
29177,3.44,2,7,8
30085,3.8181818181818175,1,1,0
30142,2.9230769230769242,0,11,0
30724,3.695652173913044,0,6,0
31399,3.571428571428572,1,2,0
31661,3.261904761904762,0,1,1
32318,3.333333333333333,0,9,5
32361,3.261904761904762,0,5,1
32843,3.761904761904762,2,9,3
33192,2.4,2,3,1
34514,3.0,3,8,4
43323,3.8461538461538463,1,9,0
43329,3.8461538461538463,0,8,2
44152,4.0,0,2,0
44203,3.75,2,6,2
46438,5.0,1,2,0
46734,3.3846153846153846,1,11,2
46781,3.2857142857142856,2,11,4
49503,4.0,1,9,1
52356,3.0625,6,10,1
52555,3.333333333333333,1,3,1
52562,4.0,0,2,1
54103,3.333333333333333,1,10,1
56213,2.0,0,22,0
57932,3.0,2,9,3
59549,3.5,2,9,0
59581,3.230769230769232,1,3,0
61116,3.0526315789473686,3,15,1
61206,2.773109243697479,1,9,1
61207,2.773109243697479,0,11,1
61208,2.773109243697479,5,11,2
61209,2.773109243697479,0,9,0
61210,2.773109243697479,4,18,0
61449,2.53125,3,7,1
64185,3.272727272727273,0,11,1
69186,3.261904761904762,4,15,0
70403,3.0882352941176467,2,8,0
73813,4.169014084507042,0,2,0
75484,3.4,0,9,1
76264,4.666666666666667,4,4,4
1069817,3.5675675675675675,1,11,0
1091918,3.1428571428571432,0,1,0
1122922,4.4,0,1,0
1145462,3.6666666666666665,0,6,0
1196321,4.0,0,4,1
1226438,3.0,0,3,2
1228523,3.435643564356436,0,1,1
1245151,3.0,0,6,1
1331003,3.333333333333333,2,6,1
1332969,2.333333333333333,2,6,0
1352059,3.4,0,3,0
1353702,3.4,5,13,0
1354323,3.3947368421052633,49,6125,49
1356630,3.6666666666666665,4,11,4
1384193,3.2222222222222223,0,4,0
1423363,3.0,0,3,1
1425791,3.0,0,6,0
1447923,3.5517241379310347,2,10,1
1473007,3.5,0,2,0
1474853,3.928571428571429,0,2,0
1491674,4.0,0,0,1
1493596,4.742857142857143,0,3,1
1494092,2.6,0,1,0
1514158,3.571428571428572,0,1,0
1515016,3.440677966101694,1,5,6
1515446,4.0,0,2,0
1516497,2.0476190476190474,1,13,1
1542412,2.0,2,4,0
1542416,3.75,0,2,1
1543755,3.5,0,2,1
1546717,3.267676767676768,0,13,2
1547706,2.888888888888889,2,6,2
1547937,2.88,2,10,1
1548132,4.037037037037037,1,2,1
1577525,3.6666666666666665,0,4,0
1578111,3.6666666666666665,0,5,0
1579370,3.733333333333333,0,9,0
1592999,3.352601156069364,5,12,1
1593077,3.86,1,8,0
1593096,4.120689655172414,2,11,2
1593657,3.1666666666666665,0,10,0
1619390,3.5324675324675323,3,10,0
1623138,4.5,0,2,0
1645648,3.1538461538461537,1,9,3
1647367,5.0,0,2,1
1647924,4.422680412371133,0,6,0
1648986,2.2,0,7,0
1649268,3.2777777777777777,1,7,1
1649695,3.5,1,11,2
1676087,3.6,1,0,0
1676680,5.0,2,5,1
1676863,3.2222222222222223,1,10,2
1677809,3.0,1,6,7
1678249,2.7777777777777777,5,9,0
1679829,3.905775075987842,2,8,3
1682552,3.533333333333333,2,8,2
1694954,4.188405797101448,2,7,0
1695277,2.142857142857143,0,4,0
1695468,3.6666666666666665,0,6,0
1696945,1.0,0,2,0
1716955,4.25,1,8,1
1717240,3.0,0,8,1
1718943,3.0,2,7,3
1740135,2.9,0,11,0
1741461,3.0,0,3,1
1768647,4.0,0,8,1
1770896,4.3,0,3,2
1800208,3.8,1,3,1
1800448,3.183333333333333,4,10,0
1801484,3.8333333333333335,3,13,1
1801487,2.0,0,5,0
1801488,4.0,0,11,0
1801494,3.5,3,11,1
1801495,4.5,0,1,0
1801753,2.4285714285714284,2,7,1
1803050,4.0,0,9,0
1803908,3.5454545454545454,0,2,0
1816978,3.5294117647058822,1,14,1
1818032,3.6666666666666665,0,7,0
1820903,4.2631578947368425,2,9,1
1822221,3.3076923076923075,3,9,1
1822283,3.2,3,11,1
1823007,2.5,0,2,1
1823030,2.95,0,1,1
1840781,1.5,0,3,1
1842873,2.0,0,3,0
1843203,4.5,0,7,0
1844736,3.3,0,5,0
1868073,3.0,1,6,2
1873401,2.975,0,14,0
1873531,3.333333333333333,3,13,0
1874099,4.0,3,7,1
1888343,4.0,0,9,0
1888376,5.0,1,0,0
1893197,3.75,6,9,2
1894000,3.692470837751857,2,10,2
1898071,3.9,0,1,0
1898430,4.052631578947368,0,5,2
1898488,3.6666666666666665,0,6,1
1903215,3.49,2,8,3
1903309,3.75,0,1,1
1904148,2.673076923076924,2,6,2
1904806,3.5354330708661417,5,6,2
1908906,3.0,0,1,0
1909035,3.625,3,6,3
1909399,3.6176470588235294,2,5,0
1910187,3.125,0,1,2
1914557,4.1680672268907575,3,10,2
1921487,2.083333333333333,1,0,0
1926508,3.8260869565217392,0,11,2
1927165,2.935483870967741,0,9,1
1933581,3.0,0,11,1
1943390,3.5774647887323945,0,8,0
1954252,3.0789473684210527,2,6,0
1959818,3.1428571428571432,1,3,0
1959838,2.0,0,7,6
1964130,1.0,1,4,1
1969799,3.6875,1,1,0
1969966,3.0,1,9,0
1970115,2.5,0,2,0
1970116,4.037037037037037,0,8,4
1974339,2.0,0,0,1
1975258,3.6666666666666665,1,5,0
1979202,4.111111111111111,0,1,0
1981200,2.5,2,10,0
1985041,3.7777777777777777,0,9,3
2003827,3.75,0,3,0
2004163,4.0,1,1,0
2008916,4.078947368421051,1,12,0
2021256,4.0,0,1,0
2022158,4.290322580645161,2,10,1
2041587,3.0,0,2,0
2041722,4.0,0,2,0
2048115,4.0,1,1,0
2054848,3.888888888888889,2,2,0
2055163,3.7058823529411766,3,8,1
2059443,3.2857142857142856,1,2,0
2059664,3.8,2,5,0
2059952,2.523809523809524,3,7,4
2060013,4.0,0,6,0
2065037,3.4,1,7,6
2069246,3.333333333333333,2,7,1
2069523,4.111111111111111,3,3,1
2074211,3.8666666666666663,2,4,0
2074531,4.461538461538462,1,8,0
2074649,4.0,1,2,0
2078938,4.0,0,7,0
2079750,4.2,2,10,0
2079936,4.285714285714286,1,10,1
2079974,3.888888888888889,4,2,1
2083830,5.0,1,1,0
2084018,4.666666666666667,8,12,4
2084171,3.04,1,9,2
2087689,1.6666666666666667,0,2,0
2088105,3.111111111111111,4,9,0
2088686,4.5,3,6,3
2088943,4.0,3,4,1
2093263,4.190476190476192,4,5,1
2108208,2.8571428571428568,0,1,0
2108543,4.0,1,1,0
2113736,3.1428571428571432,0,1,0
2114823,2.8474576271186436,2,10,1
2121009,2.5,1,2,1
2125007,1.5,1,8,2
2125326,4.0,1,7,1
2129398,3.2,7,15,1
2129572,4.4444444444444455,2,9,1
2138371,3.0,1,5,2
2138477,5.0,0,4,0
2147200,4.0,3,8,4
2147307,2.833333333333333,0,1,0
2147603,4.666666666666667,1,1,2
2156643,4.0,0,3,1
