restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
-0oBrlx668ghShZLzOOwpw,"Hair by Megan B.","Hair by Megan B. - Near Southside - Chicago, IL",4,5,"Beauty and Spas, Hair Salons, Nail Salons, METADATA","1505 S Michigan Ave 2nd Fl (at 14th St) Chicago, IL 60605 Neighborhood: Near Southside","Tue 12 pm - 5:30 pm Wed-Thu 10 am - 6:30 pm Fri-Sat 10 am - 6 pm Sun 12 pm - 5 pm",Yes,Yes,Street,,,$$,,,,,,,,,,,,,No,http://www.beautyqueen86.blogspot.â€¦,"(978) 791-3302",2
-0xNhQ5cv1q8SbCwBu0h6A,"One Illinois Center Dental Associates","One Illinois Center Dental Associates - The Loop - Chicago, IL",3,4,"Health and Medical, Dentists, General Dentistry, METADATA","111 E Wacker Dr Ste 23 (between Michigan Ave & Lower Wacker Dr) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.DentalProfessionals.com,"(312) 938-3999",1
-13rqFgAMkp8c0YRW5gv-Q,"Valet Parking Service","Valet Parking Service - The Loop - Chicago, IL",1,4,"Add, METADATA","412 S Dearborn Street Chicago, IL 60605 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 427-0992",0
-1n0DOZ7jz9RozcIO1Bx5g,"Downtown Tobacco","Downtown Tobacco - The Loop - Chicago, IL",1,5,"Shopping, Tobacco Shops, METADATA","174 W Van Buren Street Chicago, IL 60605 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 588-0377",0
-3Bz4dwz3_hytmUYhTfwMg,"Warehouse Liquors","Warehouse Liquors - South Loop - Chicago, IL",46,5,"Food, Beer, Wine & Spirits, METADATA","634 S Wabash Ave (between Balbo Ave & Harrison St) Chicago, IL 60605 Neighborhood: South Loop","Mon-Thu 7 am - 10:30 pm Fri-Sat 8 am - 11:30 pm Sun 11 am - 9 pm",,Yes,Street,,,$$,,,,,,,,,,,,,Yes,,"(312) 663-1850",11
-5-QOUmCbGgwTZ1qGodCgg,"Working on Labor Day","Working on Labor Day - Chicago, IL",1,1,"Active Life, METADATA","123 Sucks Lane Chicago, IL 60601",,,,,,,,,,,,,,,,,,,,,,,0
-6xaK5elUFw6YBwtcLdKqw,"Colin Lyons Wedding Photography","Colin Lyons Wedding Photography - The Loop - Chicago, IL",13,5,"Event Planning & Services, Photographers, METADATA","182 W Lake St Ste 309 (between Beaubien Ct & La Salle St) Chicago, IL 60601 Serving Chicago and surrounding area Neighborhood: The Loop","Mon-Fri 10 am - 8 pm Sun 2 pm - 8 pm",,Yes,,,,,,,,,,,,,,,,,,http://weddings.colinlyonsphotograâ€¦,"(312) 285-4533",6
-9jxsN4TDpsARuHCiEuolw,"DSW Designer Shoe Warehouse","DSW Designer Shoe Warehouse - The Loop - Chicago, IL",1,3,"Shopping, METADATA","35 S. State Street (between Washington St & Madison St) Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.dsw.com,"(312) 629-5386",0
-Aev5O4GkAG1zVKc4dRBTg,"Harry's Hot Dogs","Harry's Hot Dogs - CLOSED - The Loop - Chicago, IL",14,4,"Restaurants, METADATA","300 W Randolph St Fl 1 Chicago, IL 60606 Neighborhood: The Loop",,Yes,No,,Casual,No,$,No,No,Yes,No,No,,Lunch,No,,,,,No,,"(312) 782-7386",3
-aIXGAuLnicdsmOutY9ebQ,"Terzo Piano","Terzo Piano - The Loop - Chicago, IL",143,3,"Restaurants, Italian, METADATA","159 E Monroe Dr Chicago, IL 60604 Neighborhood: The Loop","Mon-Wed, Fri-Sun 11 am - 3 pm Thu 11 am - 9 pm",No,Yes,Garage,Casual,Yes,$$$,Yes,No,No,Yes,Yes,No,Lunch,"Full Bar",Average,Trendy,No,No,Yes,http://www.terzopianochicago.com,"(312) 443-8650",18
-bfF_-h5p4jRC937npYdvg,"Smart Resources","Smart Resources - The Loop - Chicago, IL",27,4,"Professional Services, Employment Agencies, METADATA","33 N LaSalle Ste 950 Chicago, IL 60602 Neighborhood: The Loop","Mon-Thu 7:30 am - 5:30 pm Fri 7:30 am - 5 pm",,,,,,,,,,,,,,,,,,,,http://www.smartstaffing.com,"(312) 696-5306",37
-BKSuORz6rwIcTSGAV_GwA,Delmonico,"Delmonico - The Loop - Chicago, IL",26,4,"Restaurants, American (Traditional), METADATA","111 W Washington St (between Clark St & La Salle St) Chicago, IL 60602 Neighborhood: The Loop",,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,,,,,Yes,http://www.delmonicochicago.com/,"(312) 345-0707",2
-CclMIdTyOnA2vWrubC2Iw,Macy's,"Macy's - The Loop - Chicago, IL",338,3,"Shopping, Department Stores, Fashion, Health and Medical, Optometrists, Eyewear & Opticians, METADATA","111 N State St (between Washington St & Court Pl) Chicago, IL 60602 Neighborhood: The Loop","Mon-Sat 10 am - 8 pm Sun 11 am - 6 pm",,Yes,Garage,,,$$,,,,,,,,,,,,,Yes,http://www.macys.com,"(312) 781-1000",61
-CehJGwsRwnYZ7e3vvX_Xg,"Reflections of Health Integrative Care Center","Reflections of Health Integrative Care Center - The Loop - Chicago, IL",28,3,"Health and Medical, Chiropractors, Beauty and Spas, Massage, Acupuncture, METADATA","55 W Wacker Dr Ste 716 (between Wabash Ave & Garland Ct) Chicago, IL 60601 Neighborhood: The Loop","Mon, Wed 9 am - 5 pm Tue, Thu-Fri 9 am - 8 pm Sat 9 am - 3 pm",,Yes,Garage,,,$$,,,,,,,,,,,,,Yes,http://www.reflections-of-health.câ€¦,"(773) 826-9455",12
-DcI9z3WSJx09mzCuJPf_A,"Golden Crown Jewelers","Golden Crown Jewelers - The Loop - Chicago, IL",6,5,"Shopping, Jewelry, METADATA","1 N Wabash Ave Ste B-1 Chicago, IL 60602 Neighborhood: The Loop","Mon-Fri 10 am - 5:30 pm Sat 10 am - 5 pm",,Yes,Garage,,,$$,,,,,,,,,,,,,Yes,http://www.goldencrownonline.com,"(312) 782-8633",1
