name,address,rating_y
Hair by Megan B.,1505 S Michigan ,5.0
One Illinois Center Dental Associates,111 E Wacker ,1.0
Valet Parking Service,412 S Dearborn ,4.0
Downtown Tobacco,174 W Van Buren ,5.0
Warehouse Liquors,634 S Wabash ,4.4
Working on Labor Day,123 Sucks Lane ,1.0
Colin Lyons Wedding Photography,182 W Lake ,5.0
DSW Designer Shoe Warehouse,35 S. ,3.0
Harry's Hot Dogs,300 W Randolph ,4.0
Terzo Piano,159 E Monroe ,3.0789473684210527
Smart Resources,33 N LaSalle ,3.9166666666666665
Delmonico,111 W Washington ,3.6666666666666665
Macy's,111 N ,2.773109243697479
Reflections of Health Integrative Care Center,55 W Wacker ,3.2222222222222223
Golden Crown Jewelers,1 N Wabash ,5.0
Rainbow Cone At the Park Grill Cafe,11 N Michigan ,5.0
In & Out Moving & Storage,27 N Wacker ,3.4444444444444446
Paul Young Fine Jewelers,34 W Randolph ,4.428571428571429
Nuts On Clark Union Station Inc,222 S Riverside ,4.333333333333333
Roti Mediterranean Grill,310 W Adams ,3.7777777777777777
Chipotle Mexican Grill,8 E Madison ,3.5
All Tangled Up Salon and Spa,850 S Wabash ,5.0
Caribou Coffee,41 E 8th ,3.727272727272727
Mei's Kitchen,1108 S Michigan ,1.75
Au Bon Pain,125 S Wacker ,2.8571428571428568
Corner Bakery Cafe,1400 S Lake Shore ,2.6666666666666665
Allied Gem Appraisers,55 E Washington ,5.0
Fannie May Candies,144 S. Dearborn ,4.0
Cajun Grill At Union Station,225 S Canal ,2.6666666666666665
Chicago Chapter of the Appraisal Institute,205 W Wacker ,5.0
Einstein Bros Bagels,180 N Michigan ,2.5
Daspin & Aument Llp,227 W Monroe ,5.0
CBS 2 Chicago,22 West Washington ,2.333333333333333
The Coffee Beanery,150 N Michigan ,4.0
Spex,29 E Madison ,4.333333333333333
Bella Bronze Tan & Body Spa,1503 S Michigan ,4.583333333333333
Seattle's Best Coffee,55 E Monroe ,4.0
Walgreens,30 N Michigan ,1.0
IPO,172 W Adams ,3.111111111111111
Beard Papa's Cream Puffs,108 N ,4.30188679245283
A' Cappella Bistro,1301 S Michigan ,1.7142857142857142
Bar Millennium,151 N Michigan ,4.666666666666667
Twelfth Street Beach,,3.6666666666666665
Tesori,65 E Adams ,3.0
Dunhill Staffing Services,1 N La Salle ,1.0
Sarah's Pastries and Candies,111 N. ,2.6
Baldwin Kathleen Cooper MD,151 N Michigan ,5.0
Passportvisaexpress.com,431 S Dearborn ,5.0
McCormick Bridgehouse and Chicago River Museum,376 N Michigan ,4.0
Chicago Architecture Foundation,224 S Michigan ,4.741935483870968
Kozy's Cyclery,601 S La Salle ,1.0
Sunglass Hut Intl,111 N ,4.0
Tantrum,1023 S ,2.952380952380953
Chicago Blues Festival,235 S Columbus ,4.5
Ashley Stewart,7 West Madison ,2.0
Sopraffina,Illinois Center 111 E Wacker ,3.5
Yelptoberfest Elite Event @ The Berghoff,17 W Adams ,4.9230769230769225
Harold Washington College,30 E Lake ,2.875
Dunkin' Donuts,220 W Washington ,1.0
Hackney's Printers' Row,733 S Dearborn ,3.6060606060606064
Glass Curtain Gallery,1104 South Wabash First Floor ,5.0
"Kaplan & Sklar, DDS",111 N Wabash ,2.4
Off-Track Betting-Otb,233 W Jackson ,5.0
The Original Rainbow Cone,177 N ,3.6
Brandos,343 S Dearborn ,3.95
Patty Burger,72 E Adams ,2.95
Custom House Tavern,500 S Dearborn ,3.9690721649484537
NYC Bagel Deli,300 S Wacker ,4.037037037037037
Au Bon Pain,181 W Madison ,2.333333333333333
CVS,400 West Madison ,2.0
Spa Cafe,112 W Monroe ,3.6538461538461537
Payless Shoesource,220 S ,3.5
The Grille on State,823 S ,1.5
Associated Allergists & Asthma Specialists Ltd,111 N Wabash ,3.0
Yelp Rises To The Top Elite Event @ Phoenix Lounge,201 N ,4.96
Laurie M Schumacher DDS,Sears Tower 233 S Wacker ,1.0
AAA-Chicago Motor Club,100 W Ran ,3.0
At & T Broadband,10 S Canal ,1.3333333333333333
Toss Hair Salon,60 E 13th ,3.6
BomBon 4,170 W Washington ,4.470588235294118
Au Bon Pain,210 S Canal ,2.0
AT&T Local Service,180 N ,1.2
Encore Liquid Lounge,171 W Randolph ,3.652173913043478
Harold's Chicken Shack No 77,39 N Wells ,2.0
High Point Cleaners,201 N Clark ,2.0
Cafecito,26 E Congress Pkwy ,4.1680672268907575
Public Storage,1414 S Wabash ,4.0
Wao Bao,175 W. Jackson ,3.6
Kasey's Tavern,701 S Dearborn ,3.896551724137931
Halo For Men,70 W Madison ,4.166666666666667
Michigan Avenue Tower,1250 S Michigan ,4.0
Chicago Windy House,2 N. Riverside ,3.5
Giordano's Pizzeria,130 E Randolph ,2.5
Roti Mediterranean Grill,200 W Randolph ,3.888888888888889
Image Nails,25 E Washington ,2.8823529411764706
Around the Corner,325 S Franklin ,4.0
"Illinois Supreme Court, First Appellate District",160 N LaSalle ,3.0
Blue Cross Blue Shield,300 E Randolph ,3.4
Protein Bar,221 W Washington ,4.2
Roti Mediterranean Grill,33 N Dearborn ,3.8181818181818175
Corner Bakery Cafe,35 E Monroe ,3.4444444444444446
Lockwood,Palmer House Hilton 17 E Monroe ,3.0487804878048776
10 & 30 Sundry,10 & 30 S Wacker ,3.0
Grayline Sightseeing Tours,27 E Monroe ,1.5
Ledezma Tailors and Alterations,325 W Ohio 6th Fl ,4.0
Crain's,360 N Michigan ,4.5
Endodontics Ltd,55 E Washington ,5.0
Bash on Wabash,Wabash at 14th ,2.5
M Burger,The Atrium Mall 100 W Randolph ,2.8461538461538463
Au Bon Pain Company,181 W Madison ,3.0
Surreal New Years Eve at the Hilton,,3.0
Dunkin' Donuts,201 N Clark ,3.0
Corner Bakery Cafe,233 S Wacker ,3.2666666666666666
Ancient Healing Chicago,1455 S Michigan ,5.0
After Dark at The Art Institute,159 E Monroe ,3.0
Argo Tea,16 W Randolph ,4.120689655172414
Starbucks,17 E Monroe ,2.75
American Apparel,39 ,3.333333333333333
Starbucks,39 S La Salle ,3.6666666666666665
Falafill,72 E Adams ,4.666666666666667
Utrecht Art Supplies,33 S Wabash ,3.8333333333333335
RLJewelers,21 N Wabash ,5.0
Protein Bar,10 W Lake ,3.9166666666666665
Halsted Street Deli,400 S La Salle ,3.0
Close Up 2,416 S Clark ,4.125
Alexander James L,79 W Monroe ,1.0
Mezza Grilled Wraps and Pitas,225 N Michigan ,3.8125
Metro Market,300 N Canal ,4.0
MySpa Chicago,200 N Columbus ,2.0
Washington Mutual,230 W Monroe ,3.5
Chicago Institute of Natural Health,8 S Michigan ,3.6666666666666665
Palmer House- Hilton Hotel,17 E Monroe ,3.7910447761194033
Yelp Official Office Hours @ Freshii,200 W Monroe ,5.0
Best Imaging Solutions,20 E Randolph ,4.0
The Opportunities Group,53 W Jackson ,4.0
Staffing Now,20 N Wacker ,4.0
Dawn Jackson Blatner,120 N LaSalle ,5.0
Potbelly's,150 S Wacker ,4.055555555555555
Nicola's Pizzeria,400 S Financial ,3.5
OK Cleaners,703 S Dearborn ,4.5
Lobby Bar at Palmer House,17 E Monroe ,3.5
Tokyo Lunch Boxes & Catering,111 E Wacker ,2.6666666666666665
Jimmy John's,200 N Jefferson ,4.75
Park Millennium,222 N Columbus ,5.0
Cellars Market,141 W Jackson ,4.0
Flo & Santos,1310 S Wabash ,3.984848484848485
Nail Perfection,333 S ,1.0
Universal Sole at The Running Institute,111 N Wabash ,3.6666666666666665
The Getz Theatre,72 E. 11th ,4.0
Caffecafe,1 E Wacker ,3.0
Chicago Office Technology Group,1 E Wacker Suite 1305 ,3.5
U Food Grill,823 S ,1.0
Max's Take Out,20 E Adams ,3.7857142857142856
Spotless Cleaning Chicago,230 S Clark ,3.875
Chicago Detours,30 E. Adams ,4.909090909090909
Liberty Travel,175 W Jackson ,5.0
Arby's,195 N Dearborn ,3.0
Sassoon Academy,181 N Clark ,4.6
Creative Closets & Storage,,5.0
"Donald L Hohman, DDS",25 E Washington ,5.0
Tango Chicago,Fine Arts Building 408 S Michigan ,3.5
Chen's Chinese Express,201 N Clark ,3.333333333333333
Women's Workout World,208 S La Salle ,2.0
Hannah's Bretzel,131 S Dearborn ,3.7857142857142856
Walgreens,300 N Michigan ,1.0
Wigfield Boutique Inc,30 E Adams ,2.0
Judge John Laurie,340 East Randolph ,3.5
Walgreens,300 S ,1.5
Collier's Jewelry & Watch Repair,55 E Washington ,5.0
Museum Park Condominium,1322 S Prairie ,5.0
Jazz Showcase,806 S ,4.3
Edible Arrangements,136 S Dearborn ,5.0
Tristinstyling,150 N Michigan ,5.0
Ronny's Original Chicago Steak House,100 W Randolph ,3.4166666666666665
SunSea Yacht Charters,"Burnham Harbor Burnham Park Harbor, IL 60605 Neighborhood: Near Southside",4.0
The Big Downtown,124 S Wabash ,3.25
Lush,Macy's 111 N ,4.333333333333333
Subway,125 S Clark ,2.0
Michael J Petro,53 W Jackson ,5.0
Chicago Dine-Around,70 W Madison ,5.0
Supercuts,100 W Randolph ,5.0
Diamond Zone,5 S Wabash ,4.0
Haifa Cafe,19 N Wells ,2.9
Magids Hair Studio,549 S Clark ,4.5
Chicago Limos Inn,125 S Wacker ,5.0
Fedex Kinko's Office and Print Center,29 S. LaSalle ,1.0
The Italian Village Restaurants,71 W Monroe ,3.1046511627906983
Flax Art & Frame,32 E Adams ,4.666666666666667
Kundalini Yoga In the Loop,410 S Michigan ,2.5
Sweet Factory,100 W Randolph ,4.0
Lyric Opera of Chicago,20 N Wacker ,4.6923076923076925
Pockets,329 S Franklin ,3.8
McDonald's,186 W Adams ,3.0
The Chicago Astronomers' Sstar Party,1300 S. Lake Shore ,5.0
Royal Pawn Shop,428 S Clark ,1.0
Dunkin' Donuts,211 W Adams ,3.0
The Courthouse Cafe,"219 S. Dearborn, 2nd Fl ",2.0
"Brynne Anderson, DDS",111 N Wabash ,5.0
Marco & Associates,150 S Wacker ,1.0
Ace Shoe Clinic,55 E Monroe ,5.0
Parliament Enterprises Ltd,123 W Madison ,1.0
Interparking,171 N Wells ,3.0
CPS Parking,1 N LaSalle ,2.0
Hubbard One,1 North Dearborn ,5.0
Wow Bao,225 N Michigan ,3.125
American Israel Public Affairs Committee,120 W Madison ,3.0
7-Eleven,48 N Wells ,3.0
Nail Spa Skin,56 E Randolph ,3.1875
Rapid Application,308 W Randolph ,5.0
Hyatt Center,71 S. Wacker ,5.0
Memento Photo Booth,1503 ,5.0
Taco Fresco,23 E Adams ,2.5
Rolling Stone Magazine,333 N Michigan ,4.0
Kaw Kaw's Cigar Society,33 E 13th ,4.5
Fairmont Chicago,Millennium Park 200 N Columbus ,3.8
KFC Express,100 W Randolph ,3.0
Charter One Pavilion at Northerly Island,1300 S Linn White ,4.0
Tri-Star Catering,150 S Wacker ,4.0
Starbucks,200 N Michigan ,4.0
Jimmy John's,1250 S Michigan ,3.0
Midwest Graphics Inc,180 N Wacker ,5.0
Peoples Gas,130 E Randolph ,1.181818181818182
"Kellie Butler, MD",Women's Health Consulting 200 S Michigan ,4.333333333333333
Starbucks,636 S Michigan ,1.5
