AKA Name,Address,License,Rating
WAREHOUSE LIQUORS,634 S WABASH ,1122922,4.4
MODERN WING/TERZO PIANO,159 E MONROE ,1954252,3.0789473684210527
DELMONICO,111 W WASHINGTON ,1356630,3.6666666666666665
FRANGO CAFE,111 N ,61209,2.773109243697479
INFIELD'S,111 N ,61207,2.773109243697479
MARKET PLACE/STARBUCKS COFFE/FRANGO/GODIVA,111 N ,61210,2.773109243697479
R.H. MACY & CO. WINE AND SPIRITS,111 N ,2560001,2.773109243697479
SEVEN ON STATE STREET.,111 N ,61208,2.773109243697479
STARBUCKS ON 1ST FLOOR STREET LEVEL,111 N ,2262395,2.773109243697479
WALNUT ROOM,111 N ,61206,2.773109243697479
ROTI MEDITERRAREAN GRILL,310 W ADAMS ,1985041,3.7777777777777777
AU BON  PAIN,125 S WACKER ,2108208,2.8571428571428568
EINSTEIN BROS BAGELS #3620,180 N MICHIGAN ,2284736,2.5
WALGREENS # 09438,30 N MICHIGAN ,1696945,1.0
TESORI,65 E ADAMS ,57932,3.0
TAHER,30 E LAKE ,2419593,2.875
PATTY BURGER,72 E ADAMS ,1823030,2.95
NYC BAGEL DELI,300 S WACKER ,1970116,4.037037037037037
CAFECITO,26 E CONGRESS PKWY ,1914557,4.1680672268907575
KASEY'S TAVERN,701 S DEARBORN ,17178,3.896551724137931
PROTEIN BAR,221 W WASHINGTON ,2079750,4.2
ARGO TEA,16 W RANDOLPH ,1593096,4.120689655172414
STARBUCKS COFFEE #10594,39 S LA SALLE ,1695468,3.6666666666666665
FALAFILL,72 E ADAMS ,2147603,4.666666666666667
METRO MARKET,300 N CANAL ,2021256,4.0
CELLARS MARKET,141 W JACKSON ,18241,4.0
CAFFECAFE,1 E WACKER ,1717240,3.0
MAX'S TAKE OUT,20 E ADAMS ,11172,3.7857142857142856
ARBY'S ROAST BEEF,195 N DEARBORN ,25193,3.0
CHEN'S CHINESE EXPRESS,201 N CLARK ,22140,3.333333333333333
WALGREENS #1332,300 N MICHIGAN ,18659,1.0
HAIFA CAFE,19 N WELLS ,2188995,2.9
SWEET FACTORY,100 W RANDOLPH ,2074649,4.0
MCDONALD'S STORE #4061,186 W ADAMS ,1969966,3.0
STARBUCKS,200 N MICHIGAN ,2458000,4.0
KAMEHACHI  SUSHI CAFE,311 S WACKER ,1645648,3.1538461538461537
CHICAGO YACHT CLUB,400 E MONROE ,44203,3.75
FFC,1151 S ,2320565,3.3636363636363638
MARY SEARS CHILDREN'S ACADEMY,1255 S ,1964130,1.0
BOMBON CAFE,36 S ASHLAND ,2341007,3.0
BIONDA TO GO,400 S FINANCIAL ,1908906,3.0
RUBY OF SIAM,170 W WASHINGTON ,1909399,3.6176470588235294
THE VAULT CAFE,135 S LA SALLE ,2418006,3.2
"COURTWAY RESTAURANT, L.L.C.",29 S LA SALLE ,1959818,3.1428571428571432
THAI SPOON,601 S WABASH ,2458801,2.833333333333333
THAI SPOON AND SUSHI,601 S WABASH ,2517704,2.833333333333333
EPIC BURGER,517 S ,1904806,3.5354330708661417
EVENT KITCHEN,323 E WACKER ,1447923,3.5517241379310347
AFC SUSHI @JEWEL-OSCO #3345,1224 S WABASH ,1516497,2.0476190476190474
SBARRO,100 W RANDOLPH ,15419,4.0
MAXIM'S RESTAURANT INC,20 N CLARK ,644,2.5
TOKYO LUNCH BOXES & CATERING,60 E JACKSON ,1816978,3.5294117647058822
65 CHINESE RESTAURANT,225 S CANAL ,32361,3.261904761904762
KELLY'S CAJUN GRILL,225 S CANAL ,69186,3.261904761904762
SNUGGERY AT UNION STATION INC,225 S CANAL ,31661,3.261904761904762
CRUMBS BAKE SHOP,42 S CLARK ,2113736,3.1428571428571432
THE MID-AMERICA CLUB,200 E RANDOLPH ,1801753,2.4285714285714284
WEATHER MARK TAVERN,1503 S MICHIGAN ,1593657,3.1666666666666665
PITTSFIELD CAFE,55 E WASHINGTON ,49503,4.0
OSAKA EXPRESS,400 S MICHIGAN ,1579370,3.733333333333333
OODLES OF NOODLES,29 E ADAMS ,1970115,2.5
COSI,230 W MONROE ,2,3.625
THE GREEN AT GRANT PARK,352 E MONROE ,1969799,3.6875
JAMBA JUICE #628,190 W MADISON ,1491674,4.0
EMERALD LOOP BAR & GRILL,216 N WABASH ,1649268,3.2777777777777777
BEEF AND BRANDY RESTAURANT,127 S ,1168,3.25
MEZCALINA,333 E BENTON ,2138371,3.0
"FLACO'S TACOS, LLC",725 S DEARBORN ,1903215,3.49
U.B. DOGS,185 N FRANKLIN ,2074531,4.461538461538462
ELEVEN CITY DINER,1112 S WABASH ,1546717,3.267676767676768
BRASSERIE BY LM,800 S MICHIGAN ,2088943,4.0
PALM RESTAURANT,323 E WACKER ,1242,3.333333333333333
JASON'S DELI,195 N DEARBORN ,2129572,4.4444444444444455
OVERFLOW COFFEE BAR,1550 S ,2078938,4.0
MRS FIELDS,32 E RANDOLPH ,2319805,4.2222222222222205
SIMPLY THALIA,108 N ,2059952,2.5238095238095237
ALAIN'S RESTAURANT,1355 S MICHIGAN ,2108543,4.0
AMERICANA SUBMARINE,400 S CLARK ,1677809,3.0
SILK ROAD JACKSON,216 W JACKSON ,31399,3.571428571428572
