name,sentiment,rating
Hair by Megan B.,positive,5
One Illinois Center Dental Associates,negative,1
Valet Parking Service,negative,4
Downtown Tobacco,positive,5
Warehouse Liquors,negative,5
Warehouse Liquors,positive,4
Warehouse Liquors,positive,5
Warehouse Liquors,positive,2
Warehouse Liquors,positive,5
Warehouse Liquors,positive,4
Warehouse Liquors,positive,5
Warehouse Liquors,positive,5
Warehouse Liquors,positive,5
Warehouse Liquors,positive,4
Working on Labor Day,negative,1
Colin Lyons Wedding Photography,positive,5
Colin Lyons Wedding Photography,positive,5
Colin Lyons Wedding Photography,positive,5
DSW Designer Shoe Warehouse,positive,3
Harry's Hot Dogs,negative,4
Harry's Hot Dogs,positive,3
Harry's Hot Dogs,positive,5
Harry's Hot Dogs,negative,3
Harry's Hot Dogs,positive,5
Harry's Hot Dogs,negative,4
Terzo Piano,negative,2
Terzo Piano,positive,2
Terzo Piano,negative,4
Terzo Piano,positive,2
Terzo Piano,negative,2
Terzo Piano,positive,3
Terzo Piano,positive,4
Terzo Piano,negative,5
Terzo Piano,negative,2
Terzo Piano,positive,4
Terzo Piano,positive,4
Terzo Piano,positive,3
Terzo Piano,positive,3
Terzo Piano,negative,3
Terzo Piano,positive,4
Terzo Piano,positive,4
Terzo Piano,negative,2
Terzo Piano,positive,1
Terzo Piano,positive,3
Terzo Piano,positive,3
Terzo Piano,negative,2
Terzo Piano,positive,4
Terzo Piano,positive,3
Terzo Piano,positive,2
Terzo Piano,positive,5
Terzo Piano,positive,3
Terzo Piano,positive,4
Terzo Piano,negative,3
Terzo Piano,positive,3
Terzo Piano,positive,1
Terzo Piano,positive,3
Terzo Piano,positive,5
Terzo Piano,positive,5
Terzo Piano,positive,1
Terzo Piano,positive,2
Terzo Piano,positive,3
Terzo Piano,positive,4
Terzo Piano,positive,4
Smart Resources,positive,1
Smart Resources,negative,2
Smart Resources,positive,4
Smart Resources,positive,5
Smart Resources,positive,5
Smart Resources,positive,4
Smart Resources,positive,5
Smart Resources,positive,5
Smart Resources,positive,5
Smart Resources,negative,3
Smart Resources,positive,5
Smart Resources,negative,3
Delmonico,positive,3
Delmonico,positive,3
Delmonico,negative,5
Delmonico,positive,3
Delmonico,negative,3
Delmonico,positive,5
Delmonico,positive,3
Delmonico,positive,3
Delmonico,positive,5
Macy's,positive,3
Macy's,positive,5
Macy's,negative,4
Macy's,positive,5
Macy's,negative,1
Macy's,positive,3
Macy's,positive,2
Macy's,negative,3
Macy's,positive,3
Macy's,positive,5
Macy's,negative,1
Macy's,negative,1
Macy's,negative,2
Macy's,negative,3
Macy's,positive,5
Macy's,positive,2
Macy's,negative,1
Macy's,negative,1
Macy's,negative,2
Macy's,positive,3
Macy's,positive,3
Macy's,negative,1
Macy's,negative,2
Macy's,negative,3
Macy's,positive,5
Macy's,negative,1
Macy's,positive,4
Macy's,positive,5
Macy's,positive,1
Macy's,negative,2
Macy's,negative,1
Macy's,positive,2
Macy's,positive,4
Macy's,negative,4
Macy's,positive,4
Macy's,positive,2
Macy's,positive,4
Macy's,positive,4
Macy's,positive,3
Macy's,positive,4
Macy's,positive,3
Macy's,positive,3
Macy's,positive,3
Macy's,negative,1
Macy's,negative,4
Macy's,negative,1
